Strain,Genotype,Medium,Dilution,Measurement_Type,Time,Measurement_ID,Original_ID,Value,Original_Value,Unit,Original_Unit,Error,Original_Error,Source
BW25113,WT,GLC,0.2,consumption_rate,NA,qGlc,qGLC,3.07,3.07,mmol/h/g,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,consumption_rate,NA,qGlc,qGLC,4.75,4.75,mmol/h/g,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,consumption_rate,NA,qGlc,qGLC,6.67,6.67,mmol/h/g,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,consumption_rate,NA,qGlc,qGLC,8.05,8.05,mmol/h/g,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,GLCptspp,GLCptspp,3.07,3.07,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,GLCptspp,GLCptspp,4.75,4.75,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,GLCptspp,GLCptspp,6.67,6.67,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,GLCptspp,GLCptspp,8.05,8.05,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PGI,PGI,2.73,2.73,mmol/h/gDW,mmol/g/h,0.95,0.95,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PGI,PGI,3.86,3.86,mmol/h/gDW,mmol/g/h,0.36,0.36,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PGI,PGI,5.69,5.69,mmol/h/gDW,mmol/g/h,0.95,0.95,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PGI,PGI,6.9,6.9,mmol/h/gDW,mmol/g/h,0.44,0.44,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,PFK,PFK+FBA,2.81,2.81,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,PFK,PFK+FBA,4.16,4.16,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,PFK,PFK+FBA,5.91,5.91,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,PFK,PFK+FBA,7.14,7.14,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,FBA,PFK+FBA,2.81,2.81,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,FBA,PFK+FBA,4.16,4.16,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.6,flux,SS,FBA,PFK+FBA,5.91,5.91,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.7,flux,SS,FBA,PFK+FBA,7.14,7.14,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.2,flux,SS,GAPD,GAPD+PGK,5.6,5.6,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
BW25113,WT,GLC,0.4,flux,SS,GAPD,GAPD+PGK,8.35,8.35,mmol/h/gDW,mmol/g/h,NA,NA,"(Yao, 2011)"
