ID,BiGG ID,Enzyme,Reaction equation,Gene name
ACALD,ACALD,acetaldehyde dehydrogenase (acetylating),(1)acald[c]+(1)coa[c]+(1)nad[c]<--->(1)accoa[c]+(1)h[c]+(1)nadh[c],mhpF or adhE
ACALDtpp_ex,composed of ACALDtex and ACALDtpp,composed of acetaldehyde transport via diffusion (extracellular to periplasm) and acetaldehyde reversible transport (periplasm),(1)acald[e]<--->(1)acald[c],NA
ACKr,ACKr,acetate kinase,(1)ac[c]+(1)atp[c]<--->(1)actp[c]+(1)adp[c],ackA or purT or tdcD
ACONTa,ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",(1)cit[c]<--->(1)acon-C[c]+(1)h2o[c],acnB or acnA
ACONTb,ACONTb,"aconitase (half-reaction B, Isocitrate hydro-lyase)",(1)acon-C[c]+(1)h2o[c]<--->(1)icit[c],acnB or acnA
ACt2rpp_ex_H,composed of ACt2rpp and ACtex and Htex,composed of acetate reversible transport via proton symport (periplasm) and Acetate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)ac[e]+(1)h[e]<--->(1)ac[c]+(1)h[c],NA
ADK1,ADK1,adenylate kinase,(1)amp[c]+(1)atp[c]<--->(2)adp[c],adk
AKGDH,AKGDH,2-Oxogluterate dehydrogenase,(1)akg[c]+(1)coa[c]+(1)nad[c]--->(1)co2[c]+(1)nadh[c]+(1)succoa[c],sucB and lpd and sucA
AKGt2rpp_ex,composed of AKGt2rpp and AKGtex and Htex,composed of 2-oxoglutarate reversible transport via symport (periplasm) and alpha-ketoglutarate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)akg[e]+(1)h[e]<--->(1)akg[c]+(1)h[c],NA
ALCD2x,ALCD2x,alcohol dehydrogenase (ethanol),(1)etoh[c]+(1)nad[c]<--->(1)acald[c]+(1)h[c]+(1)nadh[c],adhE or adhP
ATPM,ATPM,ATP maintenance requirement,(1)atp[c]+(1)h2o[c]--->(1)adp[c]+(1)h[c]+(1)pi[c],
ATPS4rpp,ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),(1)adp[c]+(4)h[e]+(1)pi[c]<--->(1)atp[c]+(1)h2o[c]+(3)h[c],(atpI and (atpC and atpG and atpH and atpA and atpD) and (atpB and atpF and atpE)) or ((atpC and atpG and atpH and atpA and atpD) and (atpB and atpF and atpE))
CO2tpp_ex,composed of CO2tex and CO2tpp,composed of CO2 transport via diffusion (periplasm and extracellular to periplasm),(1)co2[e]<--->(1)co2[c],NA
