,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,gnd,ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,gnd,ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,gnd,ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,1.6113539268888881,gnd,ECC2,EX_ac_ex,56.341046394716365
4,EX_adp_c,3.1086244689504383e-15,gnd,ECC2,EX_adp_c,1.0869316325001533e-13
5,EX_AMOB_ex,3.7999999999999996e-07,gnd,ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,gnd,ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,gnd,ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,3.0818821038888875,gnd,ECC2,EX_co2_ex,107.75811552059048
9,EX_coa_c,7.599999999774454e-06,gnd,ECC2,EX_coa_c,0.00026573426572637954
10,EX_cobalt2_ex,-4.75e-06,gnd,ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,gnd,ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.0,gnd,ECC2,EX_etoh_ex,0.0
13,EX_fe2_ex,-0.00156807,gnd,ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,gnd,ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,-1.5777218104420233e-30,gnd,ECC2,EX_foex,-5.516509826720361e-29
16,EX_glc__D_ex,-2.86,gnd,ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,-0.024465751000002187,gnd,ECC2,EX_glyc_ex,-0.8554458391609155
18,EX_h_ex,4.401665452000002,gnd,ECC2,EX_h_ex,153.90438643356651
19,EX_h2_ex,0.0,gnd,ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,8.12337423488889,gnd,ECC2,EX_h2o_ex,284.03406415695423
21,EX_k_ex,-0.037086100000000004,gnd,ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,1.0430829251111102,gnd,ECC2,EX_lac_ex,36.47143094794092
23,EX_meoh_ex,3.7999999999999996e-07,gnd,ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,gnd,ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,gnd,ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,gnd,ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,gnd,ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,gnd,ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,2.220446049250313e-16,gnd,ECC2,EX_nad_c,7.763797375001095e-15
30,EX_nadp_c,2.220446049250313e-16,gnd,ECC2,EX_nadp_c,7.763797375001095e-15
31,EX_nh4_ex,-2.052133,gnd,ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,gnd,ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-2.6882331793888885,gnd,ECC2,EX_o2_ex,-93.9941671114996
34,EX_pi_c,3.4200000027517774e-06,gnd,ECC2,EX_pi_c,0.00011958041967663558
35,EX_pi_ex,-0.1832569,gnd,ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,0.0,gnd,ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0479199,gnd,ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,3.1267049303423747e-15,gnd,ECC2,EX_succ_ex,1.0932534721476834e-13
39,EX_zn2_ex,-6.479e-05,gnd,ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,gnd,ECC2,Growth,6.643356643356643
41,ACALD,0.0,gnd,ECC2,ACALD,0.0
42,AcEx,1.6113539268888881,gnd,ECC2,AcEx,56.341046394716365
43,ACKr,1.500663726888888,gnd,ECC2,ACKr,52.470759681429655
44,ACONTa,0.4244797590000001,gnd,ECC2,ACONTa,14.84194961538462
45,ACONTb,0.4244797590000001,gnd,ECC2,ACONTb,14.84194961538462
46,AcUp,0.0,gnd,ECC2,AcUp,0.0
47,ADK1,0.503785,gnd,ECC2,ADK1,17.61486013986014
48,AKGDH,0.22019175900000015,gnd,ECC2,AKGDH,7.699012552447558
49,ALCD2x,0.0,gnd,ECC2,ALCD2x,0.0
50,ATPM,0.0,gnd,ECC2,ATPM,0.0
51,ATPS4rpp,8.33792509411111,gnd,ECC2,ATPS4rpp,291.5358424514374
52,CO2Ex,3.0818821038888875,gnd,ECC2,CO2Ex,107.75811552059048
53,CO2Up,0.0,gnd,ECC2,CO2Up,0.0
54,CS,0.4244797590000001,gnd,ECC2,CS,14.84194961538462
55,CYTBO3_4pp,5.376466358777777,gnd,ECC2,CYTBO3_4pp,187.9883342229992
56,EDA,1.3807134110000019,gnd,ECC2,EDA,48.276692692307755
57,EDD,1.3807134110000019,gnd,ECC2,EDD,48.276692692307755
58,ENO,3.5799042999999995,gnd,ECC2,ENO,125.171479020979
59,EthEx,0.0,gnd,ECC2,EthEx,0.0
60,F6PA,0.0,gnd,ECC2,F6PA,0.0
61,FBA,1.313835728999998,gnd,ECC2,FBA,45.93831220279713
62,FBP,0.0,gnd,ECC2,FBP,0.0
63,FHL,0.0,gnd,ECC2,FHL,0.0
64,FormEx,-1.3322676295501878e-15,gnd,ECC2,FormEx,-4.658278425000657e-14
65,FRD2,0.0,gnd,ECC2,FRD2,0.0
66,FUM,0.418321858999997,gnd,ECC2,FUM,14.626638426573322
67,G3PD2,-0.0019499489999978102,gnd,ECC2,G3PD2,-0.0681800349649584
68,G3PD5,0.0,gnd,ECC2,G3PD5,0.0
69,G6PDH2r,1.3807134110000019,gnd,ECC2,G6PDH2r,48.276692692307755
70,GAPD,3.9062862999999997,gnd,ECC2,GAPD,136.58343706293707
71,GLCptspp,2.86,gnd,ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,gnd,ECC2,GLCt2pp,0.0
73,GlcUp,2.86,gnd,ECC2,GlcUp,100.0
74,GLYCDx,0.0,gnd,ECC2,GLYCDx,0.0
75,GlycUp,0.024465751000002187,gnd,ECC2,GlycUp,0.8554458391609155
76,GLYK,0.024465751000002187,gnd,ECC2,GLYK,0.8554458391609155
77,GLYOX3,0.0,gnd,ECC2,GLYOX3,0.0
78,GND,0.0,gnd,ECC2,GND,0.0
79,h_pEx,4.401665452000002,gnd,ECC2,h_pEx,153.90438643356651
80,h2Ex,0.0,gnd,ECC2,h2Ex,0.0
81,h2oEx,8.12337423488889,gnd,ECC2,h2oEx,284.03406415695423
82,HEX1,0.0,gnd,ECC2,HEX1,0.0
83,ICDHyr,0.4244797590000001,gnd,ECC2,ICDHyr,14.84194961538462
84,ICL,0.0,gnd,ECC2,ICL,0.0
85,LacEx,1.0430829251111102,gnd,ECC2,LacEx,36.47143094794092
86,LDH_D,1.0430829251111102,gnd,ECC2,LDH_D,36.47143094794092
87,MALS,0.0,gnd,ECC2,MALS,0.0
88,MDH,0.41832185899999996,gnd,ECC2,MDH,14.626638426573427
89,ME1,0.0,gnd,ECC2,ME1,0.0
90,ME2,-2.9324159010329723e-15,gnd,ECC2,ME2,-1.0253202451164238e-13
91,MGSA,0.0,gnd,ECC2,MGSA,0.0
92,NADH16pp,5.09273669977778,gnd,ECC2,NADH16pp,178.06771677544685
93,NADH17pp,0.0,gnd,ECC2,NADH17pp,0.0
94,NADTRHD,0.0,gnd,ECC2,NADTRHD,0.0
95,O2Up,2.6882331793888885,gnd,ECC2,O2Up,93.9941671114996
96,PDH,2.6581444858888896,gnd,ECC2,PDH,92.94211489121993
97,PFK,1.313835728999998,gnd,ECC2,PFK,45.93831220279713
98,PFL,-1.3322676295501878e-15,gnd,ECC2,PFL,-4.658278425000657e-14
99,PGI,1.479286588999998,gnd,ECC2,PGI,51.72330730769224
100,PGK,3.9062862999999997,gnd,ECC2,PGK,136.58343706293707
101,PGL,1.3807134110000019,gnd,ECC2,PGL,48.276692692307755
102,PGM,3.5799042999999995,gnd,ECC2,PGM,125.171479020979
103,POX,0.0,gnd,ECC2,POX,0.0
104,PPC,0.5624018999999998,gnd,ECC2,PPC,19.66440209790209
105,PPCK,0.0,gnd,ECC2,PPCK,0.0
106,PPS,2.6020852139675776e-18,gnd,ECC2,PPS,9.098200048837685e-17
107,PTAr,1.500663726888888,gnd,ECC2,PTAr,52.470759681429655
108,PYK,0.0,gnd,ECC2,PYK,0.0
109,RPE,-0.14749814,gnd,ECC2,RPE,-5.157277622377623
110,RPI,-0.13993538,gnd,ECC2,RPI,-4.892845454545454
111,SuccEx,0.0,gnd,ECC2,SuccEx,0.0
112,SUCCt2_2pp,-2.220446049250313e-16,gnd,ECC2,SUCCt2_2pp,-7.763797375001095e-15
113,SUCCt3pp,2.9046603254173434e-15,gnd,ECC2,SUCCt3pp,1.0156154983976725e-13
114,SuccUp,-3.1267049303423747e-15,gnd,ECC2,SuccUp,-1.0932534721476834e-13
115,SUCDi,0.283729658999997,gnd,ECC2,SUCDi,9.920617447552344
116,SUCOAS,0.12046835900000015,gnd,ECC2,SUCOAS,4.21218038461539
117,TALA,-0.037520819999999996,gnd,ECC2,TALA,-1.311916783216783
118,THD2pp,0.7095067789999989,gnd,ECC2,THD2pp,24.807929335664298
119,TKT1,-0.037520819999999996,gnd,ECC2,TKT1,-1.311916783216783
120,TKT2,-0.10997732,gnd,ECC2,TKT2,-3.84536083916084
121,TPI,1.3114529600000002,gnd,ECC2,TPI,45.85499860139861
