,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,rpe,ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,rpe,ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,rpe,ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,1.6113539268888872,rpe,ECC2,EX_ac_ex,56.34104639471634
4,EX_adp_c,3.2890357104520255e-15,rpe,ECC2,EX_adp_c,1.1500124861720368e-13
5,EX_AMOB_ex,3.7999999999999996e-07,rpe,ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,rpe,ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,rpe,ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,3.054226202638894,rpe,ECC2,EX_co2_ex,106.79112596639489
9,EX_coa_c,7.5999999999964984e-06,rpe,ECC2,EX_coa_c,0.0002657342657341433
10,EX_cobalt2_ex,-4.75e-06,rpe,ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,rpe,ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.0,rpe,ECC2,EX_etoh_ex,0.0
13,EX_fe2_ex,-0.00156807,rpe,ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,rpe,ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,0.0,rpe,ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,rpe,ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,-0.015247117249994793,rpe,ECC2,EX_glyc_ex,-0.5331159877620557
18,EX_h_ex,4.401665451999989,rpe,ECC2,EX_h_ex,153.90438643356606
19,EX_h2_ex,0.0,rpe,ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,8.086499699888888,rpe,ECC2,EX_h2o_ex,282.7447447513597
21,EX_k_ex,-0.037086100000000004,rpe,ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,1.0430829251111113,rpe,ECC2,EX_lac_ex,36.47143094794096
23,EX_meoh_ex,3.7999999999999996e-07,rpe,ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,rpe,ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,rpe,ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,rpe,ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,rpe,ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,rpe,ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,2.9976021664879227e-15,rpe,ECC2,EX_nad_c,1.0481126456251478e-13
30,EX_nadp_c,0.0,rpe,ECC2,EX_nadp_c,0.0
31,EX_nh4_ex,-2.052133,rpe,ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,rpe,ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-2.6559679612638902,rpe,ECC2,EX_o2_ex,-92.86601263160455
34,EX_pi_c,3.420000003639956e-06,rpe,ECC2,EX_pi_c,0.00011958041970769077
35,EX_pi_ex,-0.1832569,rpe,ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,0.0,rpe,ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0479199,rpe,ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,-4.9960036108132044e-15,rpe,ECC2,EX_succ_ex,-1.7468544093752463e-13
39,EX_zn2_ex,-6.479e-05,rpe,ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,rpe,ECC2,Growth,6.643356643356643
41,ACALD,0.0,rpe,ECC2,ACALD,0.0
42,AcEx,1.6113539268888872,rpe,ECC2,AcEx,56.34104639471634
43,ACKr,1.5006637268888872,rpe,ECC2,ACKr,52.47075968142963
44,ACONTa,0.3415120552500005,rpe,ECC2,ACONTa,11.940980952797222
45,ACONTb,0.3415120552500005,rpe,ECC2,ACONTb,11.940980952797222
46,AcUp,0.0,rpe,ECC2,AcUp,0.0
47,ADK1,0.503785,rpe,ECC2,ADK1,17.61486013986014
48,AKGDH,0.13722405525000048,rpe,ECC2,AKGDH,4.798043889860157
49,ALCD2x,0.0,rpe,ECC2,ALCD2x,0.0
50,ATPM,0.0,rpe,ECC2,ATPM,0.0
51,ATPS4rpp,8.420892797861109,rpe,ECC2,ATPS4rpp,294.4368111140248
52,CO2Ex,3.054226202638894,rpe,ECC2,CO2Ex,106.79112596639489
53,CO2Up,0.0,rpe,ECC2,CO2Up,0.0
54,CS,0.3415120552500005,rpe,ECC2,CS,11.940980952797222
55,CYTBO3_4pp,5.3119359225277805,rpe,ECC2,CYTBO3_4pp,185.7320252632091
56,EDA,1.2977457072499994,rpe,ECC2,EDA,45.37572402972026
57,EDD,1.2977457072499994,rpe,ECC2,EDD,45.37572402972026
58,ENO,3.5799042999999946,rpe,ECC2,ENO,125.17147902097882
59,EthEx,0.0,rpe,ECC2,EthEx,0.0
60,F6PA,0.0,rpe,ECC2,F6PA,0.0
61,FBA,1.3230543627499984,rpe,ECC2,FBA,46.26064205419575
62,FBP,0.0,rpe,ECC2,FBP,0.0
63,FHL,0.0,rpe,ECC2,FHL,0.0
64,FormEx,0.0,rpe,ECC2,FormEx,0.0
65,FRD2,0.0,rpe,ECC2,FRD2,0.0
66,FUM,0.33535415525000545,rpe,ECC2,FUM,11.725669763986206
67,G3PD2,-0.011168582750005204,rpe,ECC2,G3PD2,-0.3905098863638183
68,G3PD5,0.0,rpe,ECC2,G3PD5,0.0
69,G6PDH2r,1.5189929172499994,rpe,ECC2,G6PDH2r,53.1116404632867
70,GAPD,3.9062862999999948,rpe,ECC2,GAPD,136.5834370629369
71,GLCptspp,2.86,rpe,ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,rpe,ECC2,GLCt2pp,0.0
73,GlcUp,2.86,rpe,ECC2,GlcUp,100.0
74,GLYCDx,0.0,rpe,ECC2,GLYCDx,0.0
75,GlycUp,0.015247117249994793,rpe,ECC2,GlycUp,0.5331159877620557
76,GLYK,0.015247117249994793,rpe,ECC2,GLYK,0.5331159877620557
77,GLYOX3,0.0,rpe,ECC2,GLYOX3,0.0
78,GND,0.22124721000000003,rpe,ECC2,GND,7.735916433566434
79,h_pEx,4.401665451999989,rpe,ECC2,h_pEx,153.90438643356606
80,h2Ex,0.0,rpe,ECC2,h2Ex,0.0
81,h2oEx,8.086499699888888,rpe,ECC2,h2oEx,282.7447447513597
82,HEX1,0.0,rpe,ECC2,HEX1,0.0
83,ICDHyr,0.3415120552500005,rpe,ECC2,ICDHyr,11.940980952797222
84,ICL,0.0,rpe,ECC2,ICL,0.0
85,LacEx,1.0430829251111113,rpe,ECC2,LacEx,36.47143094794096
86,LDH_D,1.0430829251111113,rpe,ECC2,LDH_D,36.47143094794096
87,MALS,0.0,rpe,ECC2,MALS,0.0
88,MDH,0.33535415525000545,rpe,ECC2,MDH,11.725669763986206
89,ME1,0.0,rpe,ECC2,ME1,0.0
90,ME2,0.0,rpe,ECC2,ME2,0.0
91,MGSA,-8.881784197001252e-16,rpe,ECC2,MGSA,-3.105518950000438e-14
92,NADH16pp,5.111173967277775,rpe,ECC2,NADH16pp,178.7123764782439
93,NADH17pp,0.0,rpe,ECC2,NADH17pp,0.0
94,NADTRHD,0.0,rpe,ECC2,NADTRHD,0.0
95,O2Up,2.6559679612638902,rpe,ECC2,O2Up,92.86601263160455
96,PDH,2.575176782138888,rpe,ECC2,PDH,90.04114622863244
97,PFK,1.3230543627499984,rpe,ECC2,PFK,46.26064205419575
98,PFL,0.0,rpe,ECC2,PFL,0.0
99,PGI,1.3410070827500005,rpe,ECC2,PGI,46.8883595367133
100,PGK,3.9062862999999948,rpe,ECC2,PGK,136.5834370629369
101,PGL,1.5189929172499994,rpe,ECC2,PGL,53.1116404632867
