,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,talA,ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,talA,ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,talA,ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,1.6113539268888886,talA,ECC2,EX_ac_ex,56.341046394716386
4,EX_adp_c,2.0816681711721685e-17,talA,ECC2,EX_adp_c,7.278560039063526e-16
5,EX_AMOB_ex,3.7999999999999996e-07,talA,ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,talA,ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,talA,ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,3.067811796388882,talA,ECC2,EX_co2_ex,107.26614672688399
9,EX_coa_c,7.6000000003850765e-06,talA,ECC2,EX_coa_c,0.00026573426574773
10,EX_cobalt2_ex,-4.75e-06,talA,ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,talA,ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.0,talA,ECC2,EX_etoh_ex,0.0
13,EX_fe2_ex,-0.00156807,talA,ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,talA,ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,0.0,talA,ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,talA,ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,-0.01977564850000533,talA,ECC2,EX_glyc_ex,-0.6914562412589277
18,EX_h_ex,4.401665452000002,talA,ECC2,EX_h_ex,153.90438643356651
19,EX_h2_ex,0.0,talA,ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,8.104613824888897,talA,ECC2,EX_h2o_ex,283.37810576534605
21,EX_k_ex,-0.037086100000000004,talA,ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,1.0430829251111102,talA,ECC2,EX_lac_ex,36.47143094794092
23,EX_meoh_ex,3.7999999999999996e-07,talA,ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,talA,ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,talA,ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,talA,ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,talA,ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,talA,ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,8.881784197001252e-16,talA,ECC2,EX_nad_c,3.105518950000438e-14
30,EX_nadp_c,-2.7755575615628914e-17,talA,ECC2,EX_nadp_c,-9.704746718751369e-16
31,EX_nh4_ex,-2.052133,talA,ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,talA,ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-2.6718178206388883,talA,ECC2,EX_o2_ex,-93.42020351884224
34,EX_pi_c,3.420000000753376e-06,talA,ECC2,EX_pi_c,0.0001195804196067614
35,EX_pi_ex,-0.1832569,talA,ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,0.0,talA,ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0479199,talA,ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,6.736702371994913e-15,talA,ECC2,EX_succ_ex,2.3554903398583615e-13
39,EX_zn2_ex,-6.479e-05,talA,ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,talA,ECC2,Growth,6.643356643356643
41,ACALD,0.0,talA,ECC2,ACALD,0.0
42,AcEx,1.6113539268888886,talA,ECC2,AcEx,56.341046394716386
43,ACKr,1.5006637268888885,talA,ECC2,ACKr,52.470759681429676
44,ACONTa,0.38226883650000015,talA,ECC2,ACONTa,13.366043234265739
45,ACONTb,0.38226883650000015,talA,ECC2,ACONTb,13.366043234265739
46,AcUp,0.0,talA,ECC2,AcUp,0.0
47,ADK1,0.503785,talA,ECC2,ADK1,17.61486013986014
48,AKGDH,0.17798083650000016,talA,ECC2,AKGDH,6.223106171328677
49,ALCD2x,0.0,talA,ECC2,ALCD2x,0.0
50,ATPM,0.0,talA,ECC2,ATPM,0.0
51,ATPS4rpp,8.380136016611113,talA,ECC2,ATPS4rpp,293.0117488325564
52,CO2Ex,3.067811796388882,talA,ECC2,CO2Ex,107.26614672688399
53,CO2Up,0.0,talA,ECC2,CO2Up,0.0
54,CS,0.38226883650000015,talA,ECC2,CS,13.366043234265739
55,CYTBO3_4pp,5.343635641277777,talA,ECC2,CYTBO3_4pp,186.84040703768449
56,EDA,1.3385024885000054,talA,ECC2,EDA,46.80078631118901
57,EDD,1.3385024885000054,talA,ECC2,EDD,46.80078631118901
58,ENO,3.5799043,talA,ECC2,ENO,125.17147902097902
59,EthEx,0.0,talA,ECC2,EthEx,0.0
60,F6PA,-4.2363773308065186e-17,talA,ECC2,F6PA,-1.4812508149673143e-15
61,FBA,1.3185258314999946,talA,ECC2,FBA,46.10230180069911
62,FBP,0.0,talA,ECC2,FBP,0.0
63,FHL,0.0,talA,ECC2,FHL,0.0
64,FormEx,0.0,talA,ECC2,FormEx,0.0
65,FRD2,0.0,talA,ECC2,FRD2,0.0
66,FUM,0.37611093649999344,talA,ECC2,FUM,13.150732045454317
67,G3PD2,-0.006640051499994627,talA,ECC2,G3PD2,-0.232169632866945
68,G3PD5,0.0,talA,ECC2,G3PD5,0.0
69,G6PDH2r,1.4510649485000053,talA,ECC2,G6PDH2r,50.73653666083935
70,GAPD,3.9062863,talA,ECC2,GAPD,136.58343706293707
71,GLCptspp,2.86,talA,ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,talA,ECC2,GLCt2pp,0.0
73,GlcUp,2.86,talA,ECC2,GlcUp,100.0
74,GLYCDx,-4.2363773308065186e-17,talA,ECC2,GLYCDx,-1.4812508149673143e-15
75,GlycUp,0.01977564850000533,talA,ECC2,GlycUp,0.6914562412589277
76,GLYK,0.01977564850000537,talA,ECC2,GLYK,0.691456241258929
77,GLYOX3,0.0,talA,ECC2,GLYOX3,0.0
78,GND,0.11256246,talA,ECC2,GND,3.93575034965035
79,h_pEx,4.401665452000002,talA,ECC2,h_pEx,153.90438643356651
80,h2Ex,0.0,talA,ECC2,h2Ex,0.0
81,h2oEx,8.104613824888897,talA,ECC2,h2oEx,283.37810576534605
82,HEX1,0.0,talA,ECC2,HEX1,0.0
83,ICDHyr,0.38226883650000015,talA,ECC2,ICDHyr,13.366043234265739
84,ICL,1.7826022445208513e-17,talA,ECC2,ICL,6.232874980842137e-16
85,LacEx,1.0430829251111102,talA,ECC2,LacEx,36.47143094794092
86,LDH_D,1.0430829251111102,talA,ECC2,LDH_D,36.47143094794092
87,MALS,0.0,talA,ECC2,MALS,0.0
88,MDH,0.37611093650000016,talA,ECC2,MDH,13.150732045454552
89,ME1,0.0,talA,ECC2,ME1,0.0
90,ME2,-6.725860635042269e-15,talA,ECC2,ME2,-2.3516995227420523e-13
91,MGSA,0.0,talA,ECC2,MGSA,0.0
92,NADH16pp,5.102116904777783,talA,ECC2,NADH16pp,178.39569597125117
93,NADH17pp,0.0,talA,ECC2,NADH17pp,0.0
94,NADTRHD,0.0,talA,ECC2,NADTRHD,0.0
95,O2Up,2.6718178206388883,talA,ECC2,O2Up,93.42020351884224
96,PDH,2.615933563388888,talA,ECC2,PDH,91.46620851010098
97,PFK,1.3185258314999946,talA,ECC2,PFK,46.10230180069911
98,PFL,0.0,talA,ECC2,PFL,0.0
99,PGI,1.4089350514999945,talA,ECC2,PGI,49.263463339160644
100,PGK,3.9062863,talA,ECC2,PGK,136.58343706293707
101,PGL,1.4510649485000053,talA,ECC2,PGL,50.73653666083935
102,PGM,3.5799043,talA,ECC2,PGM,125.17147902097902
103,POX,0.0,talA,ECC2,POX,0.0
104,PPC,0.5624019,talA,ECC2,PPC,19.664402097902098
105,PPCK,3.601676327617908e-17,talA,ECC2,PPCK,1.2593273872789888e-15
106,PPS,0.0,talA,ECC2,PPS,0.0
107,PTAr,1.5006637268888885,talA,ECC2,PTAr,52.470759681429676
108,PYK,0.0,talA,ECC2,PYK,0.0
109,RPE,-0.07245650000000001,talA,ECC2,RPE,-2.5334440559440563
110,RPI,-0.1774562,talA,ECC2,RPI,-6.204762237762239
111,SuccEx,0.0,talA,ECC2,SuccEx,0.0
112,SUCCt2_2pp,0.0,talA,ECC2,SUCCt2_2pp,0.0
113,SUCCt3pp,6.736702371994913e-15,talA,ECC2,SUCCt3pp,2.3554903398583615e-13
114,SuccUp,-6.736702371994913e-15,talA,ECC2,SuccUp,-2.3554903398583615e-13
115,SUCDi,0.24151873649999345,talA,ECC2,SUCDi,8.444711066433339
116,SUCOAS,0.07825743650000014,talA,ECC2,SUCOAS,2.7362740034965083
117,TALA,0.0,talA,ECC2,TALA,0.0
118,THD2pp,0.5734938064999957,talA,ECC2,THD2pp,20.052230996503347
119,TKT1,0.0,talA,ECC2,TKT1,0.0
120,TKT2,-0.07245650000000001,talA,ECC2,TKT2,-2.5334440559440563
121,TPI,1.31145296,talA,ECC2,TPI,45.854998601398606
