,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.39,0.4,ECC2,EX_Biomass,9.951574229990507
1,EX_4CRSOL_ex,8.697e-05,0.4,ECC2,EX_4CRSOL_ex,0.0022192010532878833
2,EX_5DRIB_ex,0.00026169,0.4,ECC2,EX_5DRIB_ex,0.006677506308323631
3,EX_ac_ex,0.0,0.4,ECC2,EX_ac_ex,0.0
4,EX_adp_c,-4.440892098500626e-16,0.4,ECC2,EX_adp_c,-1.1331760862976231e-14
5,EX_AMOB_ex,7.799999999999999e-07,0.4,ECC2,EX_AMOB_ex,1.9903148459981016e-05
6,EX_ca2_ex,-0.0020299500000000004,0.4,ECC2,EX_ca2_ex,-0.0517979438671006
7,EX_cl_ex,-0.0020299500000000004,0.4,ECC2,EX_cl_ex,-0.0517979438671006
8,EX_co2_ex,7.504247595000016,0.4,ECC2,EX_co2_ex,191.48481277402666
9,EX_coa_c,1.5599999999477143e-05,0.4,ECC2,EX_coa_c,0.0003980629691862786
10,EX_cobalt2_ex,-9.750000000000002e-06,0.4,ECC2,EX_cobalt2_ex,-0.00024878935574976273
11,EX_cu2_ex,-0.00027651,0.4,ECC2,EX_cu2_ex,-0.007055666129063269
12,EX_etoh_ex,0.0,0.4,ECC2,EX_etoh_ex,0.0
13,EX_fe2_ex,-0.00321867,0.4,ECC2,EX_fe2_ex,-0.08213034212011167
14,EX_fe3_ex,-0.00304512,0.4,ECC2,EX_fe3_ex,-0.07770189158776589
15,EX_foex,0.0,0.4,ECC2,EX_foex,0.0
16,EX_glc__D_ex,-3.9189779525000037,0.4,ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,0.4,ECC2,EX_glyc_ex,0.0
18,EX_h_ex,3.5864165999999855,0.4,ECC2,EX_h_ex,91.51407952453853
19,EX_h2_ex,0.0,0.4,ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,17.802354375000014,0.4,ECC2,EX_h2o_ex,454.2601308497664
21,EX_k_ex,-0.0761241,0.4,ECC2,EX_k_ex,-1.942447773951847
22,EX_lac_ex,0.0,0.4,ECC2,EX_lac_ex,0.0
23,EX_meoh_ex,7.799999999999999e-07,0.4,ECC2,EX_meoh_ex,1.9903148459981016e-05
24,EX_mg2_ex,-0.0033832500000000004,0.4,ECC2,EX_mg2_ex,-0.08632990644516766
25,EX_mn2_ex,-0.00026949,0.4,ECC2,EX_mn2_ex,-0.006876537792923441
26,EX_mobd_ex,-5.031e-05,0.4,ECC2,EX_mobd_ex,-0.0012837530756687754
27,EX_mqn8_c,0.0,0.4,ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,0.00017472,0.4,ECC2,EX_MTHTHF_ex,0.004458305255035748
29,EX_nad_c,-6.661338147750939e-16,0.4,ECC2,EX_nad_c,-1.6997641294464344e-14
30,EX_nadp_c,-1.1518563880486e-15,0.4,ECC2,EX_nadp_c,-2.9391754738344595e-14
31,EX_nh4_ex,-4.212273000000001,0.4,ECC2,EX_nh4_ex,-107.4839677858585
32,EX_ni2_ex,-0.00012597,0.4,ECC2,EX_ni2_ex,-0.0032143584762869336
33,EX_o2_ex,-6.6711217950000155,0.4,ECC2,EX_o2_ex,-170.22606087243634
34,EX_pi_c,7.019999998053583e-06,0.4,ECC2,EX_pi_c,0.0001791283360901627
35,EX_pi_ex,-0.3761589,0.4,ECC2,EX_pi_ex,-9.598392860568145
36,EX_q8_c,0.0,0.4,ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0983619,0.4,ECC2,EX_so4_ex,-2.5098865365459058
38,EX_succ_ex,0.0,0.4,ECC2,EX_succ_ex,0.0
39,EX_zn2_ex,-0.00013299,0.4,ECC2,EX_zn2_ex,-0.0033934868124267637
40,Growth,0.39,0.4,ECC2,Growth,9.951574229990507
41,ACALD,0.0,0.4,ECC2,ACALD,0.0
42,AcEx,0.0,0.4,ECC2,AcEx,0.0
43,ACKr,-0.2272062,0.4,ECC2,ACKr,-5.79758811490787
44,ACONTa,1.7974843380000234,0.4,ECC2,ACONTa,45.86615081244251
45,ACONTb,1.7974843380000234,0.4,ECC2,ACONTb,45.86615081244251
46,AcUp,0.0,0.4,ECC2,AcUp,0.0
47,ADK1,1.034085,0.4,ECC2,ADK1,26.386599070819827
48,AKGDH,1.3781563380000235,0.4,ECC2,AKGDH,35.166218200356724
49,ALCD2x,0.0,0.4,ECC2,ALCD2x,0.0
50,ATPM,0.0,0.4,ECC2,ATPM,0.0
51,ATPS4rpp,21.18432170400004,0.4,ECC2,ATPS4rpp,540.5573075624498
52,CO2Ex,7.504247595000016,0.4,ECC2,CO2Ex,191.48481277402666
53,CO2Up,0.0,0.4,ECC2,CO2Up,0.0
54,CS,1.7974843380000234,0.4,ECC2,CS,45.86615081244251
55,CYTBO3_4pp,13.342243590000031,0.4,ECC2,CYTBO3_4pp,340.45212174487267
56,EDA,8.526512829121263e-14,0.4,ECC2,EDA,2.175698085691452e-12
57,EDD,8.526512829121263e-14,0.4,ECC2,EDD,2.175698085691452e-12
58,ENO,5.659923437999939,0.4,ECC2,ENO,144.42345699825503
59,EthEx,0.0,0.4,ECC2,EthEx,0.0
60,F6PA,0.0,0.4,ECC2,F6PA,0.0
61,FBA,3.010287065499936,0.4,ECC2,FBA,76.81306457923823
62,FBP,0.0,0.4,ECC2,FBP,0.0
63,FHL,0.0,0.4,ECC2,FHL,0.0
64,FormEx,0.0,0.4,ECC2,FormEx,0.0
65,FRD2,0.0,0.4,ECC2,FRD2,0.0
66,FUM,1.7848444380000235,0.4,ECC2,FUM,45.54362029164852
67,G3PD2,-0.0542217,0.4,ECC2,G3PD2,-1.3835673651955802
68,G3PD5,0.0,0.4,ECC2,G3PD5,0.0
69,G6PDH2r,1.707243681000032,0.4,ECC2,G6PDH2r,43.56349287218988
70,GAPD,6.329865437999938,0.4,ECC2,GAPD,161.5182712105327
71,GLCptspp,3.9189779525000037,0.4,ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,0.4,ECC2,GLCt2pp,0.0
73,GlcUp,3.9189779525000037,0.4,ECC2,GlcUp,100.0
74,GLYCDx,0.0,0.4,ECC2,GLYCDx,0.0
75,GlycUp,0.0,0.4,ECC2,GlycUp,0.0
76,GLYK,0.0,0.4,ECC2,GLYK,0.0
77,GLYOX3,0.0,0.4,ECC2,GLYOX3,0.0
