,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,gnd,Exp_ECC2,EX_Biomass,6.643356643356643
1,EX_4CRSOL_ex,4.237e-05,gnd,Exp_ECC2,EX_4CRSOL_ex,0.0014814685314685316
2,EX_5DRIB_ex,0.00012749000000000001,gnd,Exp_ECC2,EX_5DRIB_ex,0.004457692307692308
3,EX_ac_ex,0.014450188444490484,gnd,Exp_ECC2,EX_ac_ex,0.505251344212954
4,EX_adp_c,-3.9968028886505635e-15,gnd,Exp_ECC2,EX_adp_c,-1.3974835275001972e-13
5,EX_AMOB_ex,3.7999999999999996e-07,gnd,Exp_ECC2,EX_AMOB_ex,1.3286713286713285e-05
6,EX_ca2_ex,-0.0009889500000000002,gnd,Exp_ECC2,EX_ca2_ex,-0.03457867132867133
7,EX_cl_ex,-0.0009889500000000002,gnd,Exp_ECC2,EX_cl_ex,-0.03457867132867133
8,EX_co2_ex,7.412378154021616,gnd,Exp_ECC2,EX_co2_ex,259.17406132942716
9,EX_coa_c,7.5999999999964984e-06,gnd,Exp_ECC2,EX_coa_c,0.0002657342657341433
10,EX_cobalt2_ex,-4.75e-06,gnd,Exp_ECC2,EX_cobalt2_ex,-0.0001660839160839161
11,EX_cu2_ex,-0.00013471,gnd,Exp_ECC2,EX_cu2_ex,-0.00471013986013986
12,EX_etoh_ex,0.4737618176806656,gnd,Exp_ECC2,EX_etoh_ex,16.565098520302993
13,EX_fe2_ex,-0.00156807,gnd,Exp_ECC2,EX_fe2_ex,-0.05482762237762238
14,EX_fe3_ex,-0.0014835199999999999,gnd,Exp_ECC2,EX_fe3_ex,-0.05187132867132867
15,EX_foex,-1.6245251821606546e-16,gnd,Exp_ECC2,EX_foex,-5.680157979582709e-15
16,EX_glc__D_ex,-2.86,gnd,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,-0.728940818944412,gnd,Exp_ECC2,EX_glyc_ex,-25.48744122183259
18,EX_h_ex,2.9539234000102024,gnd,Exp_ECC2,EX_h_ex,103.28403496539168
19,EX_h2_ex,0.0,gnd,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.893719567353287,gnd,Exp_ECC2,EX_h2o_ex,450.8293555018632
21,EX_k_ex,-0.037086100000000004,gnd,Exp_ECC2,EX_k_ex,-1.2967167832167834
22,EX_lac_ex,0.7739725474298698,gnd,Exp_ECC2,EX_lac_ex,27.06197718286258
23,EX_meoh_ex,3.7999999999999996e-07,gnd,Exp_ECC2,EX_meoh_ex,1.3286713286713285e-05
24,EX_mg2_ex,-0.0016482500000000002,gnd,Exp_ECC2,EX_mg2_ex,-0.057631118881118895
25,EX_mn2_ex,-0.00013129,gnd,Exp_ECC2,EX_mn2_ex,-0.004590559440559441
26,EX_mobd_ex,-2.4509999999999997e-05,gnd,Exp_ECC2,EX_mobd_ex,-0.0008569930069930069
27,EX_mqn8_c,0.0,gnd,Exp_ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,gnd,Exp_ECC2,EX_MTHTHF_ex,0.0029762237762237767
29,EX_nad_c,-4.107825191113079e-15,gnd,Exp_ECC2,EX_nad_c,-1.4363025143752026e-13
30,EX_nadp_c,0.0,gnd,Exp_ECC2,EX_nadp_c,0.0
31,EX_nh4_ex,-2.052133,gnd,Exp_ECC2,EX_nh4_ex,-71.75290209790211
32,EX_ni2_ex,-6.137e-05,gnd,Exp_ECC2,EX_ni2_ex,-0.002145804195804196
33,EX_o2_ex,-7.001772961847119,gnd,Exp_ECC2,EX_o2_ex,-244.81723642822098
34,EX_pi_c,3.419999998865997e-06,gnd,Exp_ECC2,EX_pi_c,0.00011958041954076913
35,EX_pi_ex,-0.1832569,gnd,Exp_ECC2,EX_pi_ex,-6.407583916083917
36,EX_q8_c,-3.552713678800501e-15,gnd,Exp_ECC2,EX_q8_c,-1.2422075800001752e-13
37,EX_so4_ex,-0.0479199,gnd,Exp_ECC2,EX_so4_ex,-1.675520979020979
38,EX_succ_ex,0.2091360320679268,gnd,Exp_ECC2,EX_succ_ex,7.312448673703734
39,EX_zn2_ex,-6.479e-05,gnd,Exp_ECC2,EX_zn2_ex,-0.0022653846153846153
40,Growth,0.19,gnd,Exp_ECC2,Growth,6.643356643356643
41,ACALD,0.4737618176806656,gnd,Exp_ECC2,ACALD,16.565098520302993
42,AcEx,0.014450188444490485,gnd,Exp_ECC2,AcEx,0.505251344212954
43,ACKr,-0.09624001155550951,gnd,Exp_ECC2,ACKr,-3.3650353690737593
44,ACONTa,2.312071093321464,gnd,Exp_ECC2,ACONTa,80.8416466196316
45,ACONTb,2.312071093321464,gnd,Exp_ECC2,ACONTb,80.8416466196316
46,AcUp,1.734723475976807e-18,gnd,Exp_ECC2,AcUp,6.065466699219606e-17
47,ADK1,0.8337712273973754,gnd,Exp_ECC2,ADK1,29.152840118789353
48,AKGDH,1.6192726275953264,gnd,Exp_ECC2,AKGDH,56.61792404179464
49,ALCD2x,0.4737618176806656,gnd,Exp_ECC2,ALCD2x,16.565098520302993
50,ATPM,0.0,gnd,Exp_ECC2,ATPM,0.0
51,ATPS4rpp,9.195720418754936,gnd,Exp_ECC2,ATPS4rpp,321.52868597045233
52,CO2Ex,7.412378154021616,gnd,Exp_ECC2,CO2Ex,259.17406132942716
53,CO2Up,0.0,gnd,Exp_ECC2,CO2Up,0.0
54,CS,2.312071093321464,gnd,Exp_ECC2,CS,80.8416466196316
55,CYTBO3_4pp,14.003545923694238,gnd,Exp_ECC2,CYTBO3_4pp,489.63447285644196
56,EDA,2.6945491400000026,gnd,Exp_ECC2,EDA,94.21500489510498
57,EDD,2.6945491400000026,gnd,Exp_ECC2,EDD,94.21500489510498
58,ENO,2.970543638944414,gnd,Exp_ECC2,ENO,103.86516220085363
59,EthEx,0.4737618176806656,gnd,Exp_ECC2,EthEx,16.565098520302993
60,F6PA,0.0,gnd,Exp_ECC2,F6PA,0.0
61,FBA,0.0,gnd,Exp_ECC2,FBA,0.0
62,FBP,0.0,gnd,Exp_ECC2,FBP,0.0
63,FHL,0.0,gnd,Exp_ECC2,FHL,0.0
64,FormEx,4.884981308350689e-15,gnd,Exp_ECC2,FormEx,1.708035422500241e-13
65,FRD2,0.11598694408875374,gnd,Exp_ECC2,FRD2,4.05548755555083
66,FUM,2.096777161253537,gnd,Exp_ECC2,FUM,73.31388675711668
67,G3PD2,-10.923551877846595,gnd,Exp_ECC2,G3PD2,-381.9423733512796
68,G3PD5,11.626076996791008,gnd,Exp_ECC2,G3PD5,406.5061886989863
69,G6PDH2r,2.694549140000003,gnd,Exp_ECC2,G6PDH2r,94.21500489510501
70,GAPD,3.296925638944414,gnd,Exp_ECC2,GAPD,115.27712024281169
71,GLCptspp,2.86,gnd,Exp_ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,gnd,Exp_ECC2,GLCt2pp,0.0
73,GlcUp,2.86,gnd,Exp_ECC2,GlcUp,100.0
74,GLYCDx,0.0,gnd,Exp_ECC2,GLYCDx,0.0
75,GlycUp,0.728940818944412,gnd,Exp_ECC2,GlycUp,25.48744122183259
76,GLYK,0.728940818944412,gnd,Exp_ECC2,GLYK,25.48744122183259
77,GLYOX3,0.0,gnd,Exp_ECC2,GLYOX3,0.0
78,GND,0.0,gnd,Exp_ECC2,GND,0.0
79,h_pEx,2.9539234000102024,gnd,Exp_ECC2,h_pEx,103.28403496539168
80,h2Ex,0.0,gnd,Exp_ECC2,h2Ex,0.0
81,h2oEx,12.893719567353287,gnd,Exp_ECC2,h2oEx,450.8293555018632
82,HEX1,0.0,gnd,Exp_ECC2,HEX1,0.0
83,ICDHyr,1.8235606275953264,gnd,Exp_ECC2,ICDHyr,63.760861104731696
84,ICL,0.48851046572613754,gnd,Exp_ECC2,ICL,17.080785514899915
85,LacEx,0.7739725474298698,gnd,Exp_ECC2,LacEx,27.06197718286258
86,LDH_D,0.7739725474298698,gnd,Exp_ECC2,LDH_D,27.06197718286258
87,MALS,0.48851046572613754,gnd,Exp_ECC2,MALS,17.080785514899915
88,MDH,2.5852876269796745,gnd,Exp_ECC2,MDH,90.3946722720166
89,ME1,0.0,gnd,Exp_ECC2,ME1,0.0
90,ME2,0.0,gnd,Exp_ECC2,ME2,0.0
91,MGSA,0.0,gnd,Exp_ECC2,MGSA,0.0
92,NADH16pp,0.29929702156094334,gnd,Exp_ECC2,NADH16pp,10.464930823809208
93,NADH17pp,0.11598694408875374,gnd,Exp_ECC2,NADH17pp,4.05548755555083
94,NADTRHD,0.0,gnd,Exp_ECC2,NADTRHD,0.0
95,O2Up,7.001772961847119,gnd,Exp_ECC2,O2Up,244.81723642822098
96,PDH,3.9111043651727524,gnd,Exp_ECC2,PDH,136.75190088016618
97,PFK,0.0,gnd,Exp_ECC2,PFK,0.0
98,PFL,4.884981308350689e-15,gnd,Exp_ECC2,PFL,1.708035422500241e-13
99,PGI,0.16545085999999687,gnd,Exp_ECC2,PGI,5.784995104894995
100,PGK,3.296925638944414,gnd,Exp_ECC2,PGK,115.27712024281169
101,PGL,2.694549140000003,gnd,Exp_ECC2,PGL,94.21500489510501
102,PGM,2.970543638944414,gnd,Exp_ECC2,PGM,103.86516220085363
103,POX,0.0,gnd,Exp_ECC2,POX,0.0
104,PPC,0.2830274663417893,gnd,Exp_ECC2,PPC,9.89606525670592
105,PPCK,0.0,gnd,Exp_ECC2,PPCK,0.0
