,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19645402939422996,pgi,Exp_ECC2,EX_Biomass,6.869022006791258
1,EX_4CRSOL_ex,4.3809248554913285e-05,pgi,Exp_ECC2,EX_4CRSOL_ex,0.0015317919075144505
2,EX_5DRIB_ex,0.00013182065372352832,pgi,Exp_ECC2,EX_5DRIB_ex,0.004609113766556935
3,EX_ac_ex,0.014450188444490482,pgi,Exp_ECC2,EX_ac_ex,0.5052513442129539
4,EX_adp_c,4.440892098500626e-15,pgi,Exp_ECC2,EX_adp_c,1.552759475000219e-13
5,EX_AMOB_ex,3.9290805878845986e-07,pgi,Exp_ECC2,EX_AMOB_ex,1.3738044013582514e-05
6,EX_ca2_ex,-0.0010225432229969671,pgi,Exp_ECC2,EX_ca2_ex,-0.035753259545348505
7,EX_cl_ex,-0.0010225432229969671,pgi,Exp_ECC2,EX_cl_ex,-0.035753259545348505
8,EX_co2_ex,7.412378154021616,pgi,Exp_ECC2,EX_co2_ex,259.17406132942716
9,EX_coa_c,7.858161175544609e-06,pgi,Exp_ECC2,EX_coa_c,0.00027476088026379754
10,EX_cobalt2_ex,-4.911350734855749e-06,pgi,Exp_ECC2,EX_cobalt2_ex,-0.00017172555016978144
11,EX_cu2_ex,-0.00013928590684050902,pgi,Exp_ECC2,EX_cu2_ex,-0.004870136602815001
12,EX_etoh_ex,0.09999999999999959,pgi,Exp_ECC2,EX_etoh_ex,3.4965034965034825
13,EX_fe2_ex,-0.0016213351045905797,pgi,Exp_ECC2,EX_fe2_ex,-0.056690038622048244
14,EX_fe3_ex,-0.0015339130615101473,pgi,Exp_ECC2,EX_fe3_ex,-0.053633323829026136
15,EX_foex,0.0,pgi,Exp_ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,pgi,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,pgi,Exp_ECC2,EX_glyc_ex,0.0
18,EX_h_ex,2.448141182819663,pgi,Exp_ECC2,EX_h_ex,85.59934205663157
19,EX_h2_ex,0.0,pgi,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.713381538349877,pgi,Exp_ECC2,EX_h2o_ex,444.5238300122335
21,EX_k_ex,-0.03834586199745975,pgi,Exp_ECC2,EX_k_ex,-1.3407644055055856
22,EX_lac_ex,0.20000000000000112,pgi,Exp_ECC2,EX_lac_ex,6.993006993007033
23,EX_meoh_ex,3.9290805878845986e-07,pgi,Exp_ECC2,EX_meoh_ex,1.3738044013582514e-05
24,EX_mg2_ex,-0.001704238704994945,pgi,Exp_ECC2,EX_mg2_ex,-0.05958876590891417
25,EX_mn2_ex,-0.0001357497343114129,pgi,Exp_ECC2,EX_mn2_ex,-0.004746494206692759
26,EX_mobd_ex,-2.534256979185566e-05,pgi,Exp_ECC2,EX_mobd_ex,-0.0008861038388760722
27,EX_mqn8_c,0.0,pgi,Exp_ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.801140516861502e-05,pgi,Exp_ECC2,EX_MTHTHF_ex,0.0030773218590424835
29,EX_nad_c,4.440892098500626e-15,pgi,Exp_ECC2,EX_nad_c,1.552759475000219e-13
30,EX_nadp_c,-4.440892098500626e-16,pgi,Exp_ECC2,EX_nadp_c,-1.552759475000219e-14
31,EX_nh4_ex,-2.1218410352782593,pgi,Exp_ECC2,EX_nh4_ex,-74.19024598875032
32,EX_ni2_ex,-6.345465149433628e-05,pgi,Exp_ECC2,EX_ni2_ex,-0.0022186941081935763
33,EX_o2_ex,-6.999487009175977,pgi,Exp_ECC2,EX_o2_ex,-244.73730801314605
34,EX_pi_c,3.5361725307936354e-06,pgi,Exp_ECC2,EX_pi_c,0.00012364239618159565
35,EX_pi_ex,-0.18948187589102874,pgi,Exp_ECC2,EX_pi_ex,-6.625240415770237
36,EX_q8_c,-6.661338147750939e-16,pgi,Exp_ECC2,EX_q8_c,-2.3291392125003284e-14
