,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19645402939423012,ppsA,Exp_ECC2,EX_Biomass,6.869022006791263
1,EX_4CRSOL_ex,4.380924855491332e-05,ppsA,Exp_ECC2,EX_4CRSOL_ex,0.0015317919075144518
2,EX_5DRIB_ex,0.00013182065372352843,ppsA,Exp_ECC2,EX_5DRIB_ex,0.004609113766556938
3,EX_ac_ex,0.014450188444490569,ppsA,Exp_ECC2,EX_ac_ex,0.5052513442129569
4,EX_adp_c,1.9984014443252818e-15,ppsA,Exp_ECC2,EX_adp_c,6.987417637500986e-14
5,EX_AMOB_ex,3.929080587884602e-07,ppsA,Exp_ECC2,EX_AMOB_ex,1.3738044013582526e-05
6,EX_ca2_ex,-0.0010225432229969678,ppsA,Exp_ECC2,EX_ca2_ex,-0.035753259545348526
7,EX_cl_ex,-0.0010225432229969678,ppsA,Exp_ECC2,EX_cl_ex,-0.035753259545348526
8,EX_co2_ex,7.412378154021621,ppsA,Exp_ECC2,EX_co2_ex,259.1740613294273
9,EX_coa_c,7.85816117487635e-06,ppsA,Exp_ECC2,EX_coa_c,0.0002747608802404318
10,EX_cobalt2_ex,-4.911350734855753e-06,ppsA,Exp_ECC2,EX_cobalt2_ex,-0.00017172555016978154
11,EX_cu2_ex,-0.00013928590684050913,ppsA,Exp_ECC2,EX_cu2_ex,-0.004870136602815004
12,EX_etoh_ex,0.1,ppsA,Exp_ECC2,EX_etoh_ex,3.4965034965034967
13,EX_fe2_ex,-0.001621335104590581,ppsA,Exp_ECC2,EX_fe2_ex,-0.05669003862204829
14,EX_fe3_ex,-0.0015339130615101486,ppsA,Exp_ECC2,EX_fe3_ex,-0.05363332382902617
15,EX_foex,0.0,ppsA,Exp_ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,ppsA,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,ppsA,Exp_ECC2,EX_glyc_ex,0.0
18,EX_h_ex,2.4481411828196755,ppsA,Exp_ECC2,EX_h_ex,85.59934205663201
19,EX_h2_ex,0.0,ppsA,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.713381538349878,ppsA,Exp_ECC2,EX_h2o_ex,444.52383001223353
21,EX_k_ex,-0.038345861997459776,ppsA,Exp_ECC2,EX_k_ex,-1.3407644055055867
