,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19645402939423004,rpe,Exp_ECC2,EX_Biomass,6.86902200679126
1,EX_4CRSOL_ex,4.3809248554913305e-05,rpe,Exp_ECC2,EX_4CRSOL_ex,0.0015317919075144512
2,EX_5DRIB_ex,0.00013182065372352838,rpe,Exp_ECC2,EX_5DRIB_ex,0.004609113766556937
3,EX_ac_ex,0.1432875258301135,rpe,Exp_ECC2,EX_ac_ex,5.01005335070327
4,EX_adp_c,-1.1102230246251565e-15,rpe,Exp_ECC2,EX_adp_c,-3.8818986875005474e-14
5,EX_AMOB_ex,3.929080587884601e-07,rpe,Exp_ECC2,EX_AMOB_ex,1.373804401358252e-05
6,EX_ca2_ex,-0.0010225432229969676,rpe,Exp_ECC2,EX_ca2_ex,-0.03575325954534852
7,EX_cl_ex,-0.0010225432229969676,rpe,Exp_ECC2,EX_cl_ex,-0.03575325954534852
8,EX_co2_ex,7.412378154021621,rpe,Exp_ECC2,EX_co2_ex,259.1740613294273
9,EX_coa_c,7.858161174878475e-06,rpe,Exp_ECC2,EX_coa_c,0.0002747608802405061
10,EX_cobalt2_ex,-4.911350734855752e-06,rpe,Exp_ECC2,EX_cobalt2_ex,-0.00017172555016978154
11,EX_cu2_ex,-0.0001392859068405091,rpe,Exp_ECC2,EX_cu2_ex,-0.004870136602815004
12,EX_etoh_ex,0.10000000000000053,rpe,Exp_ECC2,EX_etoh_ex,3.4965034965035153
13,EX_fe2_ex,-0.0016213351045905806,rpe,Exp_ECC2,EX_fe2_ex,-0.05669003862204827
14,EX_fe3_ex,-0.0015339130615101481,rpe,Exp_ECC2,EX_fe3_ex,-0.053633323829026164
15,EX_foex,0.0,rpe,Exp_ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.86,rpe,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,rpe,Exp_ECC2,EX_glyc_ex,0.0
18,EX_h_ex,2.491086961948195,rpe,Exp_ECC2,EX_h_ex,87.10094272546138
19,EX_h2_ex,0.0,rpe,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.713381538349877,rpe,Exp_ECC2,EX_h2o_ex,444.5238300122335
21,EX_k_ex,-0.03834586199745977,rpe,Exp_ECC2,EX_k_ex,-1.3407644055055863
22,EX_lac_ex,0.11410844174292094,rpe,Exp_ECC2,EX_lac_ex,3.9898056553468866
23,EX_meoh_ex,3.929080587884601e-07,rpe,Exp_ECC2,EX_meoh_ex,1.373804401358252e-05
24,EX_mg2_ex,-0.001704238704994946,rpe,Exp_ECC2,EX_mg2_ex,-0.059588765908914196
25,EX_mn2_ex,-0.00013574973431141295,rpe,Exp_ECC2,EX_mn2_ex,-0.0047464942066927605
26,EX_mobd_ex,-2.5342569791855675e-05,rpe,Exp_ECC2,EX_mobd_ex,-0.0008861038388760726
27,EX_mqn8_c,0.0,rpe,Exp_ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.801140516861506e-05,rpe,Exp_ECC2,EX_MTHTHF_ex,0.0030773218590424848
29,EX_nad_c,8.881784197001252e-16,rpe,Exp_ECC2,EX_nad_c,3.105518950000438e-14
30,EX_nadp_c,-1.5543122344752192e-15,rpe,Exp_ECC2,EX_nadp_c,-5.434658162500767e-14
31,EX_nh4_ex,-2.1218410352782606,rpe,Exp_ECC2,EX_nh4_ex,-74.19024598875038
32,EX_ni2_ex,-6.345465149433631e-05,rpe,Exp_ECC2,EX_ni2_ex,-0.0022186941081935776
33,EX_o2_ex,-6.999487009175976,rpe,Exp_ECC2,EX_o2_ex,-244.737308013146
34,EX_pi_c,3.5361725296043007e-06,rpe,Exp_ECC2,EX_pi_c,0.00012364239614001053
35,EX_pi_ex,-0.18948187589102883,rpe,Exp_ECC2,EX_pi_ex,-6.625240415770239
36,EX_q8_c,4.85722573273506e-16,rpe,Exp_ECC2,EX_q8_c,1.6983306757814895e-14
37,EX_so4_ex,-0.04954767075351876,rpe,Exp_ECC2,EX_so4_ex,-1.7324360403328238
38,EX_succ_ex,0.21355576365379836,rpe,Exp_ECC2,EX_succ_ex,7.466984743139803
39,EX_zn2_ex,-6.699082402343244e-05,rpe,Exp_ECC2,EX_zn2_ex,-0.0023423365043158196
40,Growth,0.19645402939423004,rpe,Exp_ECC2,Growth,6.86902200679126
41,ACALD,0.10000000000000053,rpe,Exp_ECC2,ACALD,3.4965034965035153
42,AcEx,0.1432875258301135,rpe,Exp_ECC2,AcEx,5.01005335070327
43,ACKr,-0.08589155825707916,rpe,Exp_ECC2,ACKr,-3.0032013376601108
44,ACONTa,2.3167,rpe,Exp_ECC2,ACONTa,81.0034965034965
45,ACONTb,2.3167,rpe,Exp_ECC2,ACONTb,81.0034965034965
46,AcUp,0.0,rpe,Exp_ECC2,AcUp,0.0
47,ADK1,0.5208978589388007,rpe,Exp_ECC2,ADK1,18.213211851007017
48,AKGDH,1.6192726275953242,rpe,Exp_ECC2,AKGDH,56.61792404179456
49,ALCD2x,0.10000000000000053,rpe,Exp_ECC2,ALCD2x,3.4965034965035153
50,ATPM,0.0,rpe,Exp_ECC2,ATPM,0.0
51,ATPS4rpp,7.834140529251657,rpe,Exp_ECC2,ATPS4rpp,273.9209975262817
52,CO2Ex,7.412378154021621,rpe,Exp_ECC2,CO2Ex,259.1740613294273
53,CO2Up,0.0,rpe,Exp_ECC2,CO2Up,0.0
54,CS,2.3167,rpe,Exp_ECC2,CS,81.0034965034965
55,CYTBO3_4pp,13.998974018351952,rpe,Exp_ECC2,CYTBO3_4pp,489.474616026292
56,EDA,0.20007153759817503,rpe,Exp_ECC2,EDA,6.995508307628498
57,EDD,0.20007153759817503,rpe,Exp_ECC2,EDD,6.995508307628498
58,ENO,4.576145779128546,rpe,Exp_ECC2,ENO,160.0050971723268
59,EthEx,0.10000000000000053,rpe,Exp_ECC2,EthEx,3.4965034965035153
60,F6PA,0.0,rpe,Exp_ECC2,F6PA,0.0
61,FBA,2.412603251458047,rpe,Exp_ECC2,FBA,84.35675704398766
62,FBP,0.0,rpe,Exp_ECC2,FBP,0.0
63,FHL,0.0,rpe,Exp_ECC2,FHL,0.0
64,FormEx,0.0,rpe,Exp_ECC2,FormEx,0.0
65,FRD2,0.11598694408875378,rpe,Exp_ECC2,FRD2,4.055487555550831
66,FUM,2.0967771612535344,rpe,Exp_ECC2,FUM,73.31388675711659
67,G3PD2,-11.538661104854983,rpe,Exp_ECC2,G3PD2,-403.44968898094345
68,G3PD5,11.511348101148304,rpe,Exp_ECC2,G3PD5,402.4946888513393
69,G6PDH2r,0.4288342002125508,rpe,Exp_ECC2,G6PDH2r,14.994202804634645
70,GAPD,4.913614510821954,rpe,Exp_ECC2,GAPD,171.80470317559283
71,GLCptspp,2.86,rpe,Exp_ECC2,GLCptspp,100.0
72,GLCt2pp,0.0,rpe,Exp_ECC2,GLCt2pp,0.0
73,GlcUp,2.86,rpe,Exp_ECC2,GlcUp,100.0
74,GLYCDx,0.0,rpe,Exp_ECC2,GLYCDx,0.0
75,GlycUp,0.0,rpe,Exp_ECC2,GlycUp,0.0
76,GLYK,0.0,rpe,Exp_ECC2,GLYK,0.0
77,GLYOX3,0.05705422087145431,rpe,Exp_ECC2,GLYOX3,1.9949028276732277
78,GND,0.22876266261437575,rpe,Exp_ECC2,GND,7.998694497006145
79,h_pEx,2.491086961948195,rpe,Exp_ECC2,h_pEx,87.10094272546138
80,h2Ex,0.0,rpe,Exp_ECC2,h2Ex,0.0
81,h2oEx,12.713381538349877,rpe,Exp_ECC2,h2oEx,444.5238300122335
82,HEX1,0.0,rpe,Exp_ECC2,HEX1,0.0
83,ICDHyr,1.8305000000000005,rpe,Exp_ECC2,ICDHyr,64.00349650349652
84,ICL,0.4861999999999995,rpe,Exp_ECC2,ICL,16.999999999999986
85,LacEx,0.11410844174292094,rpe,Exp_ECC2,LacEx,3.9898056553468866
86,LDH_D,0.057054220871466686,rpe,Exp_ECC2,LDH_D,1.9949028276736607
87,MALS,0.4861999999999995,rpe,Exp_ECC2,MALS,16.999999999999986
88,MDH,2.5256913486611876,rpe,Exp_ECC2,MDH,88.31088631682475
89,ME1,0.0,rpe,Exp_ECC2,ME1,0.0
90,ME2,0.05728581259234635,rpe,Exp_ECC2,ME2,2.00300044029183
91,MGSA,0.05705422087145431,rpe,Exp_ECC2,MGSA,1.9949028276732277
92,NADH16pp,0.2992970215609431,rpe,Exp_ECC2,NADH16pp,10.464930823809201
93,NADH17pp,0.11598694408875378,rpe,Exp_ECC2,NADH17pp,4.055487555550831
94,NADTRHD,0.0,rpe,Exp_ECC2,NADTRHD,0.0
95,O2Up,6.999487009175976,rpe,Exp_ECC2,O2Up,244.737308013146
96,PDH,3.5749084417429215,rpe,Exp_ECC2,PDH,124.99679866233991
97,PFK,2.412603251458047,rpe,Exp_ECC2,PFK,84.35675704398766
98,PFL,0.0,rpe,Exp_ECC2,PFL,0.0
99,PGI,2.431165799787449,rpe,Exp_ECC2,PGI,85.00579719536536
100,PGK,4.913614510821954,rpe,Exp_ECC2,PGK,171.80470317559283
101,PGL,0.4288342002125508,rpe,Exp_ECC2,PGL,14.994202804634645
102,PGM,4.576145779128546,rpe,Exp_ECC2,PGM,160.0050971723268
103,POX,0.11472889564270213,rpe,Exp_ECC2,POX,4.0114998476469275
104,PPC,0.3661474677933604,rpe,Exp_ECC2,PPC,12.80235901375386
105,PPCK,0.0,rpe,Exp_ECC2,PPCK,0.0
106,PPS,-3.0878077872387166e-16,rpe,Exp_ECC2,PPS,-1.0796530724610899e-14
107,PTAr,-0.08589155825707916,rpe,Exp_ECC2,PTAr,-3.0032013376601108
108,PYK,1.1871457791285445,rpe,Exp_ECC2,PYK,41.508593675823235
109,RPE,0.0,rpe,Exp_ECC2,RPE,0.0
110,RPI,-0.2209430064283678,rpe,Exp_ECC2,RPI,-7.725279945047826
111,SuccEx,0.21355576365379836,rpe,Exp_ECC2,SuccEx,7.466984743139803
112,SUCCt2_2pp,0.0,rpe,Exp_ECC2,SUCCt2_2pp,0.0
113,SUCCt3pp,0.21355576365379836,rpe,Exp_ECC2,SUCCt3pp,7.466984743139803
114,SuccUp,0.0,rpe,Exp_ECC2,SuccUp,0.0
115,SUCDi,2.0736000000000034,rpe,Exp_ECC2,SUCDi,72.50349650349663
