,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,EX_Biomass,0.19,tpi,Exp_ECC2,EX_Biomass,6.577479399368369
1,EX_4CRSOL_ex,4.237e-05,tpi,Exp_ECC2,EX_4CRSOL_ex,0.0014667779060591464
2,EX_5DRIB_ex,0.00012749000000000001,tpi,Exp_ECC2,EX_5DRIB_ex,0.004413488676976177
3,EX_ac_ex,0.24024316318036967,tpi,Exp_ECC2,EX_ac_ex,8.316812929778816
4,EX_adp_c,-1.3322676295501878e-15,tpi,Exp_ECC2,EX_adp_c,-4.612085730427206e-14
5,EX_AMOB_ex,3.7999999999999996e-07,tpi,Exp_ECC2,EX_AMOB_ex,1.3154958798736737e-05
6,EX_ca2_ex,-0.0009889500000000002,tpi,Exp_ECC2,EX_ca2_ex,-0.034235780273712366
7,EX_cl_ex,-0.0009889500000000002,tpi,Exp_ECC2,EX_cl_ex,-0.034235780273712366
8,EX_co2_ex,7.917410376730228,tpi,Exp_ECC2,EX_co2_ex,274.08738762783383
9,EX_coa_c,7.5999999999964984e-06,tpi,Exp_ECC2,EX_coa_c,0.00026309917597461355
10,EX_cobalt2_ex,-4.75e-06,tpi,Exp_ECC2,EX_cobalt2_ex,-0.00016443698498420925
11,EX_cu2_ex,-0.00013471,tpi,Exp_ECC2,EX_cu2_ex,-0.004663432894152174
12,EX_etoh_ex,0.10000000000000014,tpi,Exp_ECC2,EX_etoh_ex,3.4618312628254624
13,EX_fe2_ex,-0.00156807,tpi,Exp_ECC2,EX_fe2_ex,-0.054283937482987155
14,EX_fe3_ex,-0.0014835199999999999,tpi,Exp_ECC2,EX_fe3_ex,-0.05135695915026822
15,EX_foex,0.0,tpi,Exp_ECC2,EX_foex,0.0
16,EX_glc__D_ex,-2.8886445470014785,tpi,Exp_ECC2,EX_glc__D_ex,-100.0
17,EX_glyc_ex,0.0,tpi,Exp_ECC2,EX_glyc_ex,0.0
18,EX_h_ex,2.248141182819643,tpi,Exp_ECC2,EX_h_ex,77.82685429930442
19,EX_h2_ex,0.0,tpi,Exp_ECC2,EX_h2_ex,0.0
20,EX_h2o_ex,12.75823485673023,tpi,Exp_ECC2,EX_h2o_ex,441.6685628549818
21,EX_k_ex,-0.037086100000000004,tpi,Exp_ECC2,EX_k_ex,-1.283858203962712
22,EX_lac_ex,0.4130732196393018,tpi,Exp_ECC2,EX_lac_ex,14.299897855833018
23,EX_meoh_ex,3.7999999999999996e-07,tpi,Exp_ECC2,EX_meoh_ex,1.3154958798736737e-05
24,EX_mg2_ex,-0.0016482500000000002,tpi,Exp_ECC2,EX_mg2_ex,-0.057059633789520614
25,EX_mn2_ex,-0.00013129,tpi,Exp_ECC2,EX_mn2_ex,-0.004545038264963543
26,EX_mobd_ex,-2.4509999999999997e-05,tpi,Exp_ECC2,EX_mobd_ex,-0.0008484948425185195
27,EX_mqn8_c,0.0,tpi,Exp_ECC2,EX_mqn8_c,0.0
28,EX_MTHTHF_ex,8.512e-05,tpi,Exp_ECC2,EX_MTHTHF_ex,0.0029467107709170294
29,EX_nad_c,-2.095545958979983e-15,tpi,Exp_ECC2,EX_nad_c,-7.254426513484458e-14
30,EX_nadp_c,2.55351295663786e-15,tpi,Exp_ECC2,EX_nadp_c,8.839830983318811e-14
31,EX_nh4_ex,-2.052133,tpi,Exp_ECC2,EX_nh4_ex,-71.04138174875794
32,EX_ni2_ex,-6.137e-05,tpi,Exp_ECC2,EX_ni2_ex,-0.0021245258459959833
33,EX_o2_ex,-7.373427626730227,tpi,Exp_ECC2,EX_o2_ex,-255.2556227239562
34,EX_pi_c,3.4199999995321306e-06,tpi,Exp_ECC2,EX_pi_c,0.0001183946291724338
35,EX_pi_ex,-0.1832569,tpi,Exp_ECC2,EX_pi_ex,-6.344044655484787
36,EX_q8_c,0.0,tpi,Exp_ECC2,EX_q8_c,0.0
37,EX_so4_ex,-0.0479199,tpi,Exp_ECC2,EX_so4_ex,-1.6589060793146964
38,EX_succ_ex,-0.07620189999999964,tpi,Exp_ECC2,EX_succ_ex,-2.63798119706698
39,EX_zn2_ex,-6.479e-05,tpi,Exp_ECC2,EX_zn2_ex,-0.0022429204751846137
40,Growth,0.19,tpi,Exp_ECC2,Growth,6.577479399368369
41,ACALD,0.10000000000000014,tpi,Exp_ECC2,ACALD,3.4618312628254624
42,AcEx,0.24024316318036967,tpi,Exp_ECC2,AcEx,8.316812929778816
43,ACKr,0.12955296318036966,tpi,Exp_ECC2,ACKr,4.484904981294791
44,ACONTa,2.3167000000000004,tpi,Exp_ECC2,ACONTa,80.2002448658774
45,ACONTb,2.3167000000000004,tpi,Exp_ECC2,ACONTb,80.2002448658774
46,AcUp,0.0,tpi,Exp_ECC2,AcUp,0.0
47,ADK1,1.2241915129985212,tpi,Exp_ECC2,ADK1,42.379444513838784
48,AKGDH,1.626212,tpi,Exp_ECC2,AKGDH,56.29671541581912
49,ALCD2x,0.10000000000000014,tpi,Exp_ECC2,ALCD2x,3.4618312628254624
50,ATPM,0.0,tpi,Exp_ECC2,ATPM,0.0
51,ATPS4rpp,10.156901862455976,tpi,Exp_ECC2,ATPS4rpp,351.6148040090021
52,CO2Ex,7.917410376730228,tpi,Exp_ECC2,CO2Ex,274.08738762783383
53,CO2Up,0.0,tpi,Exp_ECC2,CO2Up,0.0
54,CS,2.3167000000000004,tpi,Exp_ECC2,CS,80.2002448658774
55,CYTBO3_4pp,14.746855253460454,tpi,Exp_ECC2,CYTBO3_4pp,510.5112454479124
56,EDA,2.1653464761788923,tpi,Exp_ECC2,EDA,74.96064126085028
57,EDD,2.1653464761788923,tpi,Exp_ECC2,EDD,74.96064126085028
58,ENO,2.2970958870014786,tpi,Exp_ECC2,ENO,79.52158355329493
59,EthEx,0.10000000000000014,tpi,Exp_ECC2,EthEx,3.4618312628254624
60,F6PA,0.0,tpi,Exp_ECC2,F6PA,0.0
61,FBA,0.4399217396393017,tpi,Exp_ECC2,FBA,15.22934831479896
62,FBP,0.0,tpi,Exp_ECC2,FBP,0.0
63,FHL,0.0,tpi,Exp_ECC2,FHL,0.0
64,FormEx,0.0,tpi,Exp_ECC2,FormEx,0.0
65,FRD2,0.11598694408875378,tpi,Exp_ECC2,FRD2,4.015272291260362
66,FUM,2.3867439999999993,tpi,Exp_ECC2,FUM,82.62504995561082
67,G3PD2,-11.652492696791008,tpi,Exp_ECC2,G3PD2,-403.38963507596435
68,G3PD5,11.626076996791008,tpi,Exp_ECC2,G3PD5,402.4751681150702
69,G6PDH2r,2.5191228897287488,tpi,Exp_ECC2,G6PDH2r,87.2077837456219
70,GAPD,2.6234778870014788,tpi,Exp_ECC2,GAPD,90.82037766552992
71,GLCptspp,2.86,tpi,Exp_ECC2,GLCptspp,99.00837411680808
72,GLCt2pp,0.028644547001478612,tpi,Exp_ECC2,GLCt2pp,0.9916258831919188
73,GlcUp,2.8886445470014785,tpi,Exp_ECC2,GlcUp,100.0
74,GLYCDx,0.0,tpi,Exp_ECC2,GLYCDx,0.0
75,GlycUp,0.0,tpi,Exp_ECC2,GlycUp,0.0
76,GLYK,0.0,tpi,Exp_ECC2,GLYK,0.0
77,GLYOX3,0.4130732196393018,tpi,Exp_ECC2,GLYOX3,14.299897855833018
78,GND,0.35377641354985656,tpi,Exp_ECC2,GND,12.247142484771611
79,h_pEx,2.248141182819643,tpi,Exp_ECC2,h_pEx,77.82685429930442
80,h2Ex,0.0,tpi,Exp_ECC2,h2Ex,0.0
81,h2oEx,12.75823485673023,tpi,Exp_ECC2,h2oEx,441.6685628549818
82,HEX1,0.028644547001478612,tpi,Exp_ECC2,HEX1,0.9916258831919188
83,ICDHyr,1.8305,tpi,Exp_ECC2,ICDHyr,63.36882126602
84,ICL,0.4862000000000004,tpi,Exp_ECC2,ICL,16.831423599857388
85,LacEx,0.4130732196393018,tpi,Exp_ECC2,LacEx,14.299897855833018
86,LDH_D,0.0,tpi,Exp_ECC2,LDH_D,0.0
87,MALS,0.4862000000000004,tpi,Exp_ECC2,MALS,16.831423599857388
88,MDH,2.8729439999999995,tpi,Exp_ECC2,MDH,99.4564735554682
89,ME1,0.0,tpi,Exp_ECC2,ME1,0.0
90,ME2,0.0,tpi,Exp_ECC2,ME2,0.0
91,MGSA,0.4130732196393018,tpi,Exp_ECC2,MGSA,14.299897855833018
92,NADH16pp,0.7526395125806933,tpi,Exp_ECC2,NADH16pp,26.05510994289558
93,NADH17pp,0.11598694408875378,tpi,Exp_ECC2,NADH17pp,4.015272291260362
94,NADTRHD,0.0,tpi,Exp_ECC2,NADTRHD,0.0
95,O2Up,7.373427626730227,tpi,Exp_ECC2,O2Up,255.2556227239562
96,PDH,3.765453963180371,tpi,Exp_ECC2,PDH,130.35366248467827
97,PFK,0.4399217396393017,tpi,Exp_ECC2,PFK,15.22934831479896
98,PFL,0.0,tpi,Exp_ECC2,PFL,0.0
99,PGI,0.3695216572727298,tpi,Exp_ECC2,PGI,12.7922162543781
100,PGK,2.6234778870014788,tpi,Exp_ECC2,PGK,90.82037766552992
101,PGL,2.5191228897287488,tpi,Exp_ECC2,PGL,87.2077837456219
102,PGM,2.2970958870014786,tpi,Exp_ECC2,PGM,79.52158355329493
103,POX,0.0,tpi,Exp_ECC2,POX,0.0
104,PPC,0.0,tpi,Exp_ECC2,PPC,0.0
105,PPCK,0.0,tpi,Exp_ECC2,PPCK,0.0
106,PPS,0.7204065129985212,tpi,Exp_ECC2,PPS,24.939257886413547
107,PTAr,0.12955296318036966,tpi,Exp_ECC2,PTAr,4.484904981294791
108,PYK,0.0,tpi,Exp_ECC2,PYK,0.0
109,RPE,0.088352802366571,tpi,Exp_ECC2,RPE,3.0586249339083458
110,RPI,-0.25786085118328556,tpi,Exp_ECC2,RPI,-8.926707560850808
111,SuccEx,0.21355576365380258,tpi,Exp_ECC2,SuccEx,7.392940189732983
112,SUCCt2_2pp,0.07620189999999849,tpi,Exp_ECC2,SUCCt2_2pp,2.63798119706694
113,SUCCt3pp,0.0,tpi,Exp_ECC2,SUCCt3pp,0.0
114,SuccUp,0.28975766365380107,tpi,Exp_ECC2,SuccUp,10.030921386799923
115,SUCDi,2.368138744088753,tpi,Exp_ECC2,SUCDi,81.9809673899466
116,SUCOAS,1.5264886,tpi,Exp_ECC2,SUCOAS,52.844459578266644
117,TALA,0.08040465118328553,tpi,Exp_ECC2,TALA,2.7834733514287375
118,THD2pp,9.4618433935124,tpi,Exp_ECC2,THD2pp,327.55305263619744
119,TKT1,0.08040465118328553,tpi,Exp_ECC2,TKT1,2.7834733514287375
120,TKT2,0.007948151183285521,tpi,Exp_ECC2,TKT2,0.2751515824796097
121,TPI,0.0,tpi,Exp_ECC2,TPI,0.0
