,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ACALD,0.0,fbaB,Ec_core,ACALD,0.0
1,ACALDt,0.0,fbaB,Ec_core,ACALDt,0.0
2,ACKr,-0.16127800000000045,fbaB,Ec_core,ACKr,-5.639090909090925
3,ACONTa,0.20499099999999992,fbaB,Ec_core,ACONTa,7.167517482517479
4,ACONTb,0.20499099999999992,fbaB,Ec_core,ACONTb,7.167517482517479
5,ACt2r,-0.16127800000000045,fbaB,Ec_core,ACt2r,-5.639090909090925
6,ADK1,1.243416999999999,fbaB,Ec_core,ADK1,43.47611888111886
7,AKGDH,0.0,fbaB,Ec_core,AKGDH,0.0
8,AKGt2r,0.0,fbaB,Ec_core,AKGt2r,0.0
9,ALCD2x,0.0,fbaB,Ec_core,ALCD2x,0.0
10,ATPM,8.39,fbaB,Ec_core,ATPM,293.35664335664336
11,ATPS4r,19.584122999999998,fbaB,Ec_core,ATPS4r,684.7595454545454
12,BIOMASS_Ecoli_core_w_GAM,0.19,fbaB,Ec_core,BIOMASS_Ecoli_core_w_GAM,6.643356643356643
13,CO2t,-8.339306499999998,fbaB,Ec_core,CO2t,-291.58414335664327
14,CS,0.20499099999999992,fbaB,Ec_core,CS,7.167517482517479
15,CYTBD,16.6518875,fbaB,Ec_core,CYTBD,582.2338286713288
16,D_LACt2,0.0,fbaB,Ec_core,D_LACt2,0.0
17,ENO,2.2596760000000007,fbaB,Ec_core,ENO,79.00965034965037
18,ETOHt2r,0.0,fbaB,Ec_core,ETOHt2r,0.0
19,EX_ac_e,0.16127800000000045,fbaB,Ec_core,EX_ac_e,5.639090909090925
20,EX_acald_e,0.0,fbaB,Ec_core,EX_acald_e,0.0
21,EX_akg_e,0.0,fbaB,Ec_core,EX_akg_e,0.0
22,EX_co2_e,8.339306499999998,fbaB,Ec_core,EX_co2_e,291.58414335664327
23,EX_etoh_e,0.0,fbaB,Ec_core,EX_etoh_e,0.0
24,EX_for_e,0.41259250000000314,fbaB,Ec_core,EX_for_e,14.4263111888113
25,EX_fru_e,0.0,fbaB,Ec_core,EX_fru_e,0.0
26,EX_fum_e,0.0,fbaB,Ec_core,EX_fum_e,0.0
27,EX_glc__D_e,-2.86,fbaB,Ec_core,EX_glc__D_e,-100.0
28,EX_gln__L_e,0.0,fbaB,Ec_core,EX_gln__L_e,0.0
29,EX_glu__L_e,0.0,fbaB,Ec_core,EX_glu__L_e,0.0
30,EX_h_e,4.385270500000004,fbaB,Ec_core,EX_h_e,153.33113636363652
31,EX_h2o_e,9.7233425,fbaB,Ec_core,EX_h2o_e,339.97701048951046
32,EX_lac__D_e,0.0,fbaB,Ec_core,EX_lac__D_e,0.0
33,EX_mal__L_e,0.0,fbaB,Ec_core,EX_mal__L_e,0.0
34,EX_nh4_e,-1.036032,fbaB,Ec_core,EX_nh4_e,-36.224895104895104
35,EX_o2_e,-8.32594375,fbaB,Ec_core,EX_o2_e,-291.1169143356644
36,EX_pi_e,-0.6989530000000006,fbaB,Ec_core,EX_pi_e,-24.43891608391611
37,EX_pyr_e,0.0,fbaB,Ec_core,EX_pyr_e,0.0
38,EX_succ_e,0.0,fbaB,Ec_core,EX_succ_e,0.0
39,FBA,0.0,fbaB,Ec_core,FBA,0.0
40,FBP,0.0,fbaB,Ec_core,FBP,0.0
41,FORt2,0.0,fbaB,Ec_core,FORt2,0.0
42,FORt,-0.41259250000000314,fbaB,Ec_core,FORt,-14.4263111888113
43,FRD7,0.0,fbaB,Ec_core,FRD7,0.0
44,FRUpts2,0.0,fbaB,Ec_core,FRUpts2,0.0
45,FUM,0.0,fbaB,Ec_core,FUM,0.0
46,FUMt2_2,0.0,fbaB,Ec_core,FUMt2_2,0.0
47,G6PDH2r,8.013021,fbaB,Ec_core,G6PDH2r,280.1755594405594
48,GAPD,2.5439160000000007,fbaB,Ec_core,GAPD,88.94811188811191
49,GLCpts,2.86,fbaB,Ec_core,GLCpts,100.0
50,GLNS,0.048582999999999994,fbaB,Ec_core,GLNS,1.6987062937062938
51,GLNabc,0.0,fbaB,Ec_core,GLNabc,0.0
