,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ACALD,-4.403761164651137e-15,fbp,Ec_core,ACALD,-1.539776630996901e-13
1,ACALDt,-4.403761164651137e-15,fbp,Ec_core,ACALDt,-1.539776630996901e-13
2,ACKr,-1.2844727777777765,fbp,Ec_core,ACKr,-44.91163558663555
3,ACONTa,1.4108138666666694,fbp,Ec_core,ACONTa,49.32915617715627
4,ACONTb,1.4108138666666694,fbp,Ec_core,ACONTb,49.32915617715627
5,ACt2r,-1.2844727777777765,fbp,Ec_core,ACt2r,-44.91163558663555
6,ADK1,2.6645352591003757e-15,fbp,Ec_core,ADK1,9.316556850001313e-14
7,AKGDH,1.2058228666666704,fbp,Ec_core,AKGDH,42.16163869463883
8,AKGt2r,1.1102230246251565e-15,fbp,Ec_core,AKGt2r,3.8818986875005474e-14
9,ALCD2x,0.0,fbp,Ec_core,ALCD2x,0.0
10,ATPM,8.39,fbp,Ec_core,ATPM,293.35664335664336
11,ATPS4r,13.682670711111118,fbp,Ec_core,ATPS4r,478.4150598290601
12,BIOMASS_Ecoli_core_w_GAM,0.19,fbp,Ec_core,BIOMASS_Ecoli_core_w_GAM,6.643356643356643
13,CO2t,-6.505509444444446,fbp,Ec_core,CO2t,-227.46536519036525
14,CS,1.4108138666666694,fbp,Ec_core,CS,49.32915617715627
15,CYTBD,12.571700888888897,fbp,Ec_core,CYTBD,439.56996114996144
16,D_LACt2,-4.9204403740473883e-32,fbp,Ec_core,D_LACt2,-1.7204336972193666e-30
17,ENO,4.5886936444444455,fbp,Ec_core,ENO,160.44383372183376
18,ETOHt2r,0.0,fbp,Ec_core,ETOHt2r,0.0
19,EX_ac_e,1.2844727777777765,fbp,Ec_core,EX_ac_e,44.91163558663555
20,EX_acald_e,4.403761164651137e-15,fbp,Ec_core,EX_acald_e,1.539776630996901e-13
21,EX_akg_e,-1.1102230246251565e-15,fbp,Ec_core,EX_akg_e,-3.8818986875005474e-14
22,EX_co2_e,6.505509444444446,fbp,Ec_core,EX_co2_e,227.46536519036525
23,EX_etoh_e,0.0,fbp,Ec_core,EX_etoh_e,0.0
24,EX_for_e,0.0,fbp,Ec_core,EX_for_e,0.0
25,EX_fru_e,0.0,fbp,Ec_core,EX_fru_e,0.0
26,EX_fum_e,0.0,fbp,Ec_core,EX_fum_e,0.0
27,EX_glc__D_e,-2.86,fbp,Ec_core,EX_glc__D_e,-100.0
28,EX_gln__L_e,0.0,fbp,Ec_core,EX_gln__L_e,0.0
29,EX_glu__L_e,1.1102230246251565e-16,fbp,Ec_core,EX_glu__L_e,3.8818986875005475e-15
30,EX_h_e,5.095872777777774,fbp,Ec_core,EX_h_e,178.17736985236974
31,EX_h2o_e,7.8895454444444475,fbp,Ec_core,EX_h2o_e,275.85823232323247
32,EX_lac__D_e,4.9204403740473883e-32,fbp,Ec_core,EX_lac__D_e,1.7204336972193666e-30
33,EX_mal__L_e,2.1235888621736144e-15,fbp,Ec_core,EX_mal__L_e,7.425135881725925e-14
34,EX_nh4_e,-1.036032,fbp,Ec_core,EX_nh4_e,-36.224895104895104
35,EX_o2_e,-6.285850444444448,fbp,Ec_core,EX_o2_e,-219.78498057498072
36,EX_pi_e,-0.6989529999999992,fbp,Ec_core,EX_pi_e,-24.43891608391606
37,EX_pyr_e,-3.9968028886505635e-15,fbp,Ec_core,EX_pyr_e,-1.3974835275001972e-13
38,EX_succ_e,0.0,fbp,Ec_core,EX_succ_e,0.0
39,FBA,2.329017644444445,fbp,Ec_core,FBA,81.4341833721834
40,FBP,0.0,fbp,Ec_core,FBP,0.0
41,FORt2,0.0,fbp,Ec_core,FORt2,0.0
42,FORt,0.0,fbp,Ec_core,FORt,0.0
43,FRD7,0.0,fbp,Ec_core,FRD7,0.0
44,FRUpts2,0.0,fbp,Ec_core,FRUpts2,0.0
