,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,pfkB,COBRA,ALATA_D2,0.0
1,SHCHD2,4.236999999999995e-05,pfkB,COBRA,SHCHD2,0.0014814685314685299
2,CPPPGO,4.236999999993248e-05,pfkB,COBRA,CPPPGO,0.0014814685314661707
3,GTHOr,-8.673617379884035e-19,pfkB,COBRA,GTHOr,-3.032733349609803e-17
4,DHORD5,0.0,pfkB,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,pfkB,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.0001271100000000412,pfkB,COBRA,GLYCTO3,0.004444405594407035
7,GLYCTO4,0.0,pfkB,COBRA,GLYCTO4,0.0
8,PFK_3,1.3724214900000216,pfkB,COBRA,PFK_3,47.986765384616135
9,TRPS2,0.0,pfkB,COBRA,TRPS2,0.0
10,G3PD5,0.0,pfkB,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,pfkB,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,pfkB,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,pfkB,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560088999999989,pfkB,COBRA,LEUTAi,2.993038111888108
15,SHK3Dr,0.0724126099999983,pfkB,COBRA,SHK3Dr,2.531909440559381
16,G5SD,0.04200045,pfkB,COBRA,G5SD,1.4685472027972029
17,ALATA_L2,-1.602721861476697e-16,pfkB,COBRA,ALATA_L2,-5.603922592575864e-15
18,MAN6PI,0.0,pfkB,COBRA,MAN6PI,0.0
19,APRAUR,8.473999999999991e-05,pfkB,COBRA,APRAUR,0.0029629370629370598
20,DB4PS,0.00016947999999999982,pfkB,COBRA,DB4PS,0.0059258741258741195
21,RBFK,4.236999999999991e-05,pfkB,COBRA,RBFK,0.0014814685314685284
22,ACP1_FMN,-5.3092442251753354e-20,pfkB,COBRA,ACP1_FMN,-1.856379099711656e-18
23,RBFSb,8.473999999999991e-05,pfkB,COBRA,RBFSb,0.0029629370629370598
24,EX_pi_e,-0.18327514000003217,pfkB,COBRA,EX_pi_e,-6.408221678322803
25,EX_h_e,3.479457455961492,pfkB,COBRA,EX_h_e,121.65935160704518
26,DMATT,5.2819999999999925e-05,pfkB,COBRA,DMATT,0.0018468531468531443
27,GRTT,5.2819999999999925e-05,pfkB,COBRA,GRTT,0.0018468531468531443
28,UPP3S,8.47399999999999e-05,pfkB,COBRA,UPP3S,0.0029629370629370598
29,UPPDC1,4.236999999999995e-05,pfkB,COBRA,UPPDC1,0.0014814685314685299
30,TMDPP,-2.6078726166700606e-15,pfkB,COBRA,TMDPP,-9.118435722622591e-14
31,EX_ade_e,0.0,pfkB,COBRA,EX_ade_e,0.0
32,EX_4abut_e,0.0,pfkB,COBRA,EX_4abut_e,0.0
33,EX_ac_e,1.7336616459614764,pfkB,COBRA,EX_ac_e,60.6175400685831
34,EX_akg_e,0.0,pfkB,COBRA,EX_akg_e,0.0
35,EX_ala__L_e,0.0,pfkB,COBRA,EX_ala__L_e,0.0
36,EX_arg__L_e,0.0,pfkB,COBRA,EX_arg__L_e,0.0
37,EX_asp__L_e,0.0,pfkB,COBRA,EX_asp__L_e,0.0
38,EX_cytd_e,0.0,pfkB,COBRA,EX_cytd_e,0.0
39,EX_dcyt_e,0.0,pfkB,COBRA,EX_dcyt_e,0.0
40,EX_fum_e,0.0,pfkB,COBRA,EX_fum_e,0.0
41,EX_glu__L_e,0.0,pfkB,COBRA,EX_glu__L_e,0.0
42,EX_gua_e,8.505648561437436e-16,pfkB,COBRA,EX_gua_e,2.974002993509593e-14
43,HCO3E,0.09986856000000645,pfkB,COBRA,HCO3E,3.4919076923079175
44,IMPC,-0.10308108000000571,pfkB,COBRA,IMPC,-3.6042335664337664
45,IMPD,0.04621332000000082,pfkB,COBRA,IMPD,1.6158503496503784
46,ECOAH4,0.0676171999999991,pfkB,COBRA,ECOAH4,2.364237762237731
47,GLUTRS,0.0006779199999999992,pfkB,COBRA,GLUTRS,0.023703496503496478
48,TMPPP,4.2369999998350884e-05,pfkB,COBRA,TMPPP,0.00148146853141087
49,URIK1,6.509731350732282e-17,pfkB,COBRA,URIK1,2.2761298429133854e-15
50,URIK2,0.0,pfkB,COBRA,URIK2,0.0
51,CYTDK1,0.0,pfkB,COBRA,CYTDK1,0.0
52,CYTDK2,0.0,pfkB,COBRA,CYTDK2,0.0
53,XPPT,0.0,pfkB,COBRA,XPPT,0.0
54,HXPRT,0.0,pfkB,COBRA,HXPRT,0.0
55,NDPK5,0.0,pfkB,COBRA,NDPK5,0.0
56,DHORTS,-0.06285105000000818,pfkB,COBRA,DHORTS,-2.197589160839447
57,OMPDC,0.06285105000000818,pfkB,COBRA,OMPDC,2.197589160839447
58,CS,1.081392222846192,pfkB,COBRA,CS,37.81091688273399
59,ICDHyr,1.08139222284619,pfkB,COBRA,ICDHyr,37.81091688273392
60,ACALD,0.0,pfkB,COBRA,ACALD,0.0
61,ACS,0.0,pfkB,COBRA,ACS,0.0
62,PPA,0.6652969700000105,pfkB,COBRA,PPA,23.262131818182187
63,PPCK,0.0,pfkB,COBRA,PPCK,0.0
64,ME1,0.0,pfkB,COBRA,ME1,0.0
65,ALAR,0.007919579999999999,pfkB,COBRA,ALAR,0.2769083916083916
66,ALATA_L,-0.11055036,pfkB,COBRA,ALATA_L,-3.865397202797203
67,XYLK,0.0,pfkB,COBRA,XYLK,0.0
68,RBK,0.0,pfkB,COBRA,RBK,0.0
69,GLYK,0.0,pfkB,COBRA,GLYK,0.0
70,PPM,-0.00012787,pfkB,COBRA,PPM,-0.004470979020979021
71,ASPTA,-0.5562863700000191,pfkB,COBRA,ASPTA,-19.450572377623047
72,FBP,0.0,pfkB,COBRA,FBP,0.0
73,GLGC,0.0,pfkB,COBRA,GLGC,0.0
74,PYK,0.0,pfkB,COBRA,PYK,0.0
75,A5PISO,0.007393279999999463,pfkB,COBRA,A5PISO,0.2585062937062749
76,EX_met__L_e,0.0,pfkB,COBRA,EX_met__L_e,0.0
77,EX_metsox_S__L_e,0.0,pfkB,COBRA,EX_metsox_S__L_e,0.0
78,IPPMIb,-0.08560088999999989,pfkB,COBRA,IPPMIb,-2.993038111888108
79,ACHBS,0.055200509999999925,pfkB,COBRA,ACHBS,1.9300877622377597
80,ACLS,0.16612972999999975,pfkB,COBRA,ACLS,5.80873181818181
81,PSCVT,0.0724126099999983,pfkB,COBRA,PSCVT,2.531909440559381
82,ANS,0.010800169999999986,pfkB,COBRA,ANS,0.3776283216783212
83,ANPRT,0.010800169999999986,pfkB,COBRA,ANPRT,0.3776283216783212
84,CHORM,0.061442959999998284,pfkB,COBRA,CHORM,2.148355244755185
85,CHORS,0.0724126099999983,pfkB,COBRA,CHORS,2.531909440559381
86,IGPS,0.010800169999999986,pfkB,COBRA,IGPS,0.3776283216783212
87,EX_crn_e,0.0,pfkB,COBRA,EX_crn_e,0.0
88,EX_fe3_e,3.9044331223355614e-18,pfkB,COBRA,EX_fe3_e,1.3651864064110356e-16
89,EX_glcn_e,0.0,pfkB,COBRA,EX_glcn_e,0.0
90,EX_gln__L_e,0.0,pfkB,COBRA,EX_gln__L_e,0.0
91,EX_glyc_e,0.0,pfkB,COBRA,EX_glyc_e,0.0
92,EX_man_e,0.0,pfkB,COBRA,EX_man_e,0.0
93,EX_mn2_e,-0.00013128999999999984,pfkB,COBRA,EX_mn2_e,-0.004590559440559435
94,EX_rib__D_e,0.0,pfkB,COBRA,EX_rib__D_e,0.0
95,EX_sbt__D_e,0.0,pfkB,COBRA,EX_sbt__D_e,0.0
96,ECOAH6,0.05283064000000005,pfkB,COBRA,ECOAH6,1.8472251748251767
97,ENO,4.696923688807671,pfkB,COBRA,ENO,164.22810100726124
98,FBA,0.0,pfkB,COBRA,FBA,0.0
99,MGSA,0.0,pfkB,COBRA,MGSA,0.0
100,PPS,4.8423721629720085e-15,pfkB,COBRA,PPS,1.6931371199202826e-13
101,PGI,2.141532766423089,pfkB,COBRA,PGI,74.87876805675137
102,PGK,-5.023248688807681,pfkB,COBRA,PGK,-175.6380660422266
103,EDA,0.0,pfkB,COBRA,EDA,0.0
104,PGL,0.7184672335769109,pfkB,COBRA,PGL,25.121231943248635
105,RPE,0.33156108238460286,pfkB,COBRA,RPE,11.593044838622477
106,TALA,-1.170413458807721,pfkB,COBRA,TALA,-40.923547510759484
107,TKT1,0.20200803119230049,pfkB,COBRA,TKT1,7.063217873856661
108,G6PDA,0.0,pfkB,COBRA,G6PDA,0.0
109,ALCD2x,0.0,pfkB,COBRA,ALCD2x,0.0
110,ALDD2y,0.0,pfkB,COBRA,ALDD2y,0.0
111,RMI,0.0,pfkB,COBRA,RMI,0.0
112,EX_ura_e,0.0,pfkB,COBRA,EX_ura_e,0.0
113,EX_val__L_e,-4.736267168359812e-16,pfkB,COBRA,EX_val__L_e,-1.65603747145448e-14
114,EX_xan_e,0.0,pfkB,COBRA,EX_xan_e,0.0
115,FMNAT,4.236999999999996e-05,pfkB,COBRA,FMNAT,0.00148146853146853
116,NADDP,0.0,pfkB,COBRA,NADDP,0.0
117,NMNAT,0.0,pfkB,COBRA,NMNAT,0.0
118,HMPK1,0.0,pfkB,COBRA,HMPK1,0.0
119,NDPK6,1.942890293094024e-16,pfkB,COBRA,NDPK6,6.793322703125958e-15
120,NDPK8,0.0,pfkB,COBRA,NDPK8,0.0
121,PYNP2r,0.0,pfkB,COBRA,PYNP2r,0.0
122,DURIPP,0.0,pfkB,COBRA,DURIPP,0.0
123,PTRCTA,0.0,pfkB,COBRA,PTRCTA,0.0
124,CYSDS,-1.2325556631021271e-15,pfkB,COBRA,CYSDS,-4.309635185671774e-14
125,TRPAS2,-0.01080017,pfkB,COBRA,TRPAS2,-0.3776283216783217
126,NDP3,0.0,pfkB,COBRA,NDP3,0.0
127,CDPPH,0.0,pfkB,COBRA,CDPPH,0.0
128,NDP7,0.0,pfkB,COBRA,NDP7,0.0
129,EX_co2_e,5.89362396807696,pfkB,COBRA,EX_co2_e,206.070768114579
130,PMDPHT,8.473999999999991e-05,pfkB,COBRA,PMDPHT,0.0029629370629370598
131,ILETA,-0.055200509999999925,pfkB,COBRA,ILETA,-1.9300877622377597
132,VALTA,-0.08040077999999999,pfkB,COBRA,VALTA,-2.811216083916084
133,ORPT,-0.06285105000000818,pfkB,COBRA,ORPT,-2.197589160839447
134,RBFSa,0.00016947999999999982,pfkB,COBRA,RBFSa,0.0059258741258741195
135,DHAD2,0.055200509999999925,pfkB,COBRA,DHAD2,1.9300877622377597
136,G1PP,0.0,pfkB,COBRA,G1PP,0.0
137,PFL,2.4979661892065093e-16,pfkB,COBRA,PFL,8.734147514708076e-15
138,FRD2,0.0,pfkB,COBRA,FRD2,0.0
139,FRD3,0.0,pfkB,COBRA,FRD3,0.0
140,POX,5.2622360143889626e-15,pfkB,COBRA,POX,1.839942662373763e-13
141,PTAr,1.6230463059614766,pfkB,COBRA,PTAr,56.74987083781387
142,ACKr,-1.6230463059614766,pfkB,COBRA,ACKr,-56.74987083781387
143,EX_hxan_e,0.0,pfkB,COBRA,EX_hxan_e,0.0
144,EX_ile__L_e,0.0,pfkB,COBRA,EX_ile__L_e,0.0
145,EX_lac__L_e,0.0,pfkB,COBRA,EX_lac__L_e,0.0
146,EX_leu__L_e,0.0,pfkB,COBRA,EX_leu__L_e,0.0
147,EX_no3_e,0.0,pfkB,COBRA,EX_no3_e,0.0
148,EX_orn_e,0.0,pfkB,COBRA,EX_orn_e,0.0
149,EX_pro__L_e,0.0,pfkB,COBRA,EX_pro__L_e,0.0
150,EX_pyr_e,0.0,pfkB,COBRA,EX_pyr_e,0.0
151,EX_succ_e,0.0,pfkB,COBRA,EX_succ_e,0.0
152,EX_thymd_e,0.0,pfkB,COBRA,EX_thymd_e,0.0
153,EX_tyr__L_e,0.0,pfkB,COBRA,EX_tyr__L_e,0.0
154,MOAT,0.0036966399999997313,pfkB,COBRA,MOAT,0.12925314685313746
155,UDCPDPS,1.0449999999999976e-05,pfkB,COBRA,UDCPDPS,0.00036538461538461453
156,USHD,0.0036966399999997313,pfkB,COBRA,USHD,0.12925314685313746
157,LPADSS,0.0036966399999997313,pfkB,COBRA,LPADSS,0.12925314685313746
158,TDSK,0.0036966399999997313,pfkB,COBRA,TDSK,0.12925314685313746
159,EX_btn_e,7.480377182587763e-16,pfkB,COBRA,EX_btn_e,2.6155164974083084e-14
