,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,pgi,COBRA,ALATA_D2,0.0
1,SHCHD2,4.237e-05,pgi,COBRA,SHCHD2,0.0014411283754442734
2,CPPPGO,4.237e-05,pgi,COBRA,CPPPGO,0.0014411283754442734
3,GTHOr,0.0,pgi,COBRA,GTHOr,0.0
4,DHORD5,0.0,pgi,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,pgi,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.00012711000000042993,pgi,COBRA,GLYCTO3,0.004323385126347444
7,GLYCTO4,0.0,pgi,COBRA,GLYCTO4,0.0
8,PFK_3,0.20200803119230087,pgi,COBRA,PFK_3,6.870887557678939
9,TRPS2,0.0,pgi,COBRA,TRPS2,0.0
10,G3PD5,0.0,pgi,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,pgi,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,pgi,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,pgi,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560089000000544,pgi,COBRA,LEUTAi,2.911538152992489
15,SHK3Dr,0.07241261000000003,pgi,COBRA,SHK3Dr,2.462965943143257
16,G5SD,0.04200045,pgi,COBRA,G5SD,1.428558892528403
17,ALATA_L2,0.0,pgi,COBRA,ALATA_L2,0.0
18,MAN6PI,0.0,pgi,COBRA,MAN6PI,0.0
19,APRAUR,8.474000000002757e-05,pgi,COBRA,APRAUR,0.0028822567508894844
20,DB4PS,0.00016948000000005514,pgi,COBRA,DB4PS,0.005764513501778969
21,RBFK,4.237000000002757e-05,pgi,COBRA,RBFK,0.001441128375445211
22,ACP1_FMN,0.0,pgi,COBRA,ACP1_FMN,0.0
23,RBFSb,8.474000000002757e-05,pgi,COBRA,RBFSb,0.0028822567508894844
24,EX_pi_e,-0.1832751400000162,pgi,COBRA,EX_pi_e,-6.233726805936868
25,EX_h_e,3.479457455961513,pgi,COBRA,EX_h_e,118.34658652200329
26,DMATT,5.28200000000003e-05,pgi,COBRA,DMATT,0.0017965636249933194
27,GRTT,5.28200000000003e-05,pgi,COBRA,GRTT,0.0017965636249933194
28,UPP3S,8.474e-05,pgi,COBRA,UPP3S,0.002882256750888547
29,UPPDC1,4.237e-05,pgi,COBRA,UPPDC1,0.0014411283754442734
30,TMDPP,0.0,pgi,COBRA,TMDPP,0.0
31,EX_ade_e,0.0,pgi,COBRA,EX_ade_e,0.0
32,EX_4abut_e,0.0,pgi,COBRA,EX_4abut_e,0.0
33,EX_ac_e,1.7336616459614764,pgi,COBRA,EX_ac_e,58.966933948890905
34,EX_akg_e,0.0,pgi,COBRA,EX_akg_e,0.0
35,EX_ala__L_e,0.0,pgi,COBRA,EX_ala__L_e,0.0
36,EX_arg__L_e,0.0,pgi,COBRA,EX_arg__L_e,0.0
37,EX_asp__L_e,0.0,pgi,COBRA,EX_asp__L_e,0.0
38,EX_cytd_e,0.0,pgi,COBRA,EX_cytd_e,0.0
39,EX_dcyt_e,0.0,pgi,COBRA,EX_dcyt_e,0.0
40,EX_fum_e,0.0,pgi,COBRA,EX_fum_e,0.0
41,EX_glu__L_e,0.0,pgi,COBRA,EX_glu__L_e,0.0
42,EX_gua_e,0.0,pgi,COBRA,EX_gua_e,0.0
43,HCO3E,0.09986856000000471,pgi,COBRA,HCO3E,3.396823592890388
44,IMPC,-0.10308108000000472,pgi,COBRA,IMPC,-3.506090851060845
45,IMPD,0.04621332000000006,pgi,COBRA,IMPD,1.571850997769328
46,ECOAH4,0.06761719999999999,pgi,COBRA,ECOAH4,2.299859938354744
47,GLUTRS,0.00067792,pgi,COBRA,GLUTRS,0.023058054007108374
48,TMPPP,4.237e-05,pgi,COBRA,TMPPP,0.0014411283754442734
49,URIK1,0.0,pgi,COBRA,URIK1,0.0
50,URIK2,0.0,pgi,COBRA,URIK2,0.0
51,CYTDK1,0.0,pgi,COBRA,CYTDK1,0.0
52,CYTDK2,0.0,pgi,COBRA,CYTDK2,0.0
53,XPPT,0.0,pgi,COBRA,XPPT,0.0
54,HXPRT,0.0,pgi,COBRA,HXPRT,0.0
55,NDPK5,0.0,pgi,COBRA,NDPK5,0.0
56,DHORTS,-0.06285104999999998,pgi,COBRA,DHORTS,-2.13774915226497
57,OMPDC,0.06285104999999998,pgi,COBRA,OMPDC,2.13774915226497
58,CS,1.081392222846194,pgi,COBRA,CS,36.7813315394951
59,ICDHyr,1.0813922228461907,pgi,COBRA,ICDHyr,36.781331539494985
60,ACALD,0.0,pgi,COBRA,ACALD,0.0
61,ACS,0.0,pgi,COBRA,ACS,0.0
62,PPA,0.6652969700000113,pgi,COBRA,PPA,22.628707613030773
63,PPCK,0.0,pgi,COBRA,PPCK,0.0
64,ME1,0.0,pgi,COBRA,ME1,0.0
65,ALAR,0.007919579999999999,pgi,COBRA,ALAR,0.2693682194855076
66,ALATA_L,-0.11055035999999997,pgi,COBRA,ALATA_L,-3.7601430425201685
67,XYLK,0.0,pgi,COBRA,XYLK,0.0
68,RBK,0.0,pgi,COBRA,RBK,0.0
69,GLYK,0.0,pgi,COBRA,GLYK,0.0
70,PPM,-0.00012787,pgi,COBRA,PPM,-0.004349234962663659
71,ASPTA,-0.5562863700000172,pgi,COBRA,ASPTA,-18.920936338917084
72,FBP,0.0,pgi,COBRA,FBP,0.0
73,GLGC,0.0,pgi,COBRA,GLGC,0.0
74,PYK,-2.5673907444456745e-16,pgi,COBRA,PYK,-8.73245138700415e-15
75,A5PISO,0.00739328,pgi,COBRA,A5PISO,0.25146720782640164
76,EX_met__L_e,0.0,pgi,COBRA,EX_met__L_e,0.0
77,EX_metsox_S__L_e,0.0,pgi,COBRA,EX_metsox_S__L_e,0.0
78,IPPMIb,-0.08560089000000544,pgi,COBRA,IPPMIb,-2.911538152992489
79,ACHBS,0.055200509999999994,pgi,COBRA,ACHBS,1.8775317748405795
80,ACLS,0.1661297300000052,pgi,COBRA,ACLS,5.650560960771849
81,PSCVT,0.07241261000000003,pgi,COBRA,PSCVT,2.462965943143257
82,ANS,0.01080017,pgi,COBRA,ANS,0.3673455616384701
83,ANPRT,0.01080017,pgi,COBRA,ANPRT,0.3673455616384701
84,CHORM,0.061442960000000005,pgi,COBRA,CHORM,2.0898558680030086
85,CHORS,0.07241261000000003,pgi,COBRA,CHORS,2.462965943143257
86,IGPS,0.01080017,pgi,COBRA,IGPS,0.3673455616384701
87,EX_crn_e,0.0,pgi,COBRA,EX_crn_e,0.0
88,EX_fe3_e,0.0,pgi,COBRA,EX_fe3_e,0.0
89,EX_glcn_e,0.0,pgi,COBRA,EX_glcn_e,0.0
90,EX_gln__L_e,0.0,pgi,COBRA,EX_gln__L_e,0.0
91,EX_glyc_e,0.0,pgi,COBRA,EX_glyc_e,0.0
92,EX_man_e,0.0,pgi,COBRA,EX_man_e,0.0
93,EX_mn2_e,-0.00013129,pgi,COBRA,EX_mn2_e,-0.0044655592261524345
94,EX_rib__D_e,0.0,pgi,COBRA,EX_rib__D_e,0.0
95,EX_sbt__D_e,0.0,pgi,COBRA,EX_sbt__D_e,0.0
96,ECOAH6,0.05283064,pgi,COBRA,ECOAH6,1.796925522701941
97,ENO,4.696923688807676,pgi,COBRA,ENO,159.7561955448933
98,FBA,1.090356159128353,pgi,COBRA,FBA,37.08622138919757
99,MGSA,0.0,pgi,COBRA,MGSA,0.0
100,PPS,0.0,pgi,COBRA,PPS,0.0
101,PGI,0.0,pgi,COBRA,PGI,0.0
