,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,rpiAB,COBRA,ALATA_D2,0.0
1,SHCHD2,4.237e-05,rpiAB,COBRA,SHCHD2,0.000527505321353479
2,CPPPGO,4.237e-05,rpiAB,COBRA,CPPPGO,0.000527505321353479
3,GTHOr,0.0,rpiAB,COBRA,GTHOr,0.0
4,DHORD5,0.0,rpiAB,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,rpiAB,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.0,rpiAB,COBRA,GLYCTO3,0.0
7,GLYCTO4,0.0,rpiAB,COBRA,GLYCTO4,0.0
8,PFK_3,0.20200803119230087,rpiAB,COBRA,PFK_3,2.514994368894932
9,TRPS2,0.0,rpiAB,COBRA,TRPS2,0.0
10,G3PD5,0.0,rpiAB,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,rpiAB,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,rpiAB,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,rpiAB,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560089,rpiAB,COBRA,LEUTAi,1.0657286992587633
15,SHK3Dr,0.07241261,rpiAB,COBRA,SHK3Dr,0.9015349801296707
16,G5SD,0.04200045,rpiAB,COBRA,G5SD,0.5229044341336022
17,ALATA_L2,0.0,rpiAB,COBRA,ALATA_L2,0.0
18,MAN6PI,0.0,rpiAB,COBRA,MAN6PI,0.0
19,APRAUR,8.474000000001379e-05,rpiAB,COBRA,APRAUR,0.0010550106427071296
20,DB4PS,0.00016948000000002758,rpiAB,COBRA,DB4PS,0.002110021285414259
21,RBFK,4.2370000000013786e-05,rpiAB,COBRA,RBFK,0.0005275053213536507
22,ACP1_FMN,0.0,rpiAB,COBRA,ACP1_FMN,0.0
23,RBFSb,8.474000000001379e-05,rpiAB,COBRA,RBFSb,0.0010550106427071296
24,EX_pi_e,-0.8124288849999878,rpiAB,COBRA,EX_pi_e,-10.11471701814414
25,EX_h_e,3.9271497288961292,rpiAB,COBRA,EX_h_e,48.8929048795039
26,DMATT,5.2819999999958664e-05,rpiAB,COBRA,DMATT,0.0006576075306553919
27,GRTT,5.2819999999958664e-05,rpiAB,COBRA,GRTT,0.0006576075306553919
28,UPP3S,8.474e-05,rpiAB,COBRA,UPP3S,0.001055010642706958
29,UPPDC1,4.237e-05,rpiAB,COBRA,UPPDC1,0.000527505321353479
30,TMDPP,0.0,rpiAB,COBRA,TMDPP,0.0
31,EX_ade_e,0.0,rpiAB,COBRA,EX_ade_e,0.0
32,EX_4abut_e,0.0,rpiAB,COBRA,EX_4abut_e,0.0
33,EX_ac_e,1.5522001738961673,rpiAB,COBRA,EX_ac_e,19.324848985981205
34,EX_akg_e,0.0,rpiAB,COBRA,EX_akg_e,0.0
35,EX_ala__L_e,0.0,rpiAB,COBRA,EX_ala__L_e,0.0
36,EX_arg__L_e,0.0,rpiAB,COBRA,EX_arg__L_e,0.0
37,EX_asp__L_e,0.0,rpiAB,COBRA,EX_asp__L_e,0.0
38,EX_cytd_e,0.0,rpiAB,COBRA,EX_cytd_e,0.0
39,EX_dcyt_e,0.0,rpiAB,COBRA,EX_dcyt_e,0.0
40,EX_fum_e,0.0,rpiAB,COBRA,EX_fum_e,0.0
41,EX_glu__L_e,0.0,rpiAB,COBRA,EX_glu__L_e,0.0
42,EX_gua_e,0.0,rpiAB,COBRA,EX_gua_e,0.0
43,HCO3E,0.9387402199999794,rpiAB,COBRA,HCO3E,11.687289625171694
44,IMPC,-0.10308107999999641,rpiAB,COBRA,IMPC,-1.283356578495676
45,IMPD,0.04621332000000006,rpiAB,COBRA,IMPD,0.575354548440198
46,ECOAH4,1.3259246899999746,rpiAB,COBRA,ECOAH4,16.507725505993594
47,GLUTRS,0.00067792,rpiAB,COBRA,GLUTRS,0.008440085141655665
48,TMPPP,4.237e-05,rpiAB,COBRA,TMPPP,0.000527505321353479
49,URIK1,0.0,rpiAB,COBRA,URIK1,0.0
50,URIK2,0.0,rpiAB,COBRA,URIK2,0.0
51,CYTDK1,0.0,rpiAB,COBRA,CYTDK1,0.0
52,CYTDK2,0.0,rpiAB,COBRA,CYTDK2,0.0
53,XPPT,0.0,rpiAB,COBRA,XPPT,0.0
54,HXPRT,0.0,rpiAB,COBRA,HXPRT,0.0
55,NDPK5,0.0,rpiAB,COBRA,NDPK5,0.0
56,DHORTS,-0.06285105,rpiAB,COBRA,DHORTS,-0.7824938241126641
57,OMPDC,0.06285105,rpiAB,COBRA,OMPDC,0.7824938241126641
58,CS,1.0813922228461914,rpiAB,COBRA,CS,13.46330309232082
59,ICDHyr,1.0813922228461914,rpiAB,COBRA,ICDHyr,13.46330309232082
