,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,sdhCD,COBRA,ALATA_D2,0.0
1,SHCHD2,4.237e-05,sdhCD,COBRA,SHCHD2,0.00125580548747531
2,CPPPGO,4.237e-05,sdhCD,COBRA,CPPPGO,0.00125580548747531
3,GTHOr,0.0,sdhCD,COBRA,GTHOr,0.0
4,DHORD5,0.0,sdhCD,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,sdhCD,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.00012710999999998585,sdhCD,COBRA,GLYCTO3,0.00376741646242551
7,GLYCTO4,0.0,sdhCD,COBRA,GLYCTO4,0.0
8,PFK_3,0.3733180820606946,sdhCD,COBRA,PFK_3,11.064783951512352
9,TRPS2,0.0,sdhCD,COBRA,TRPS2,0.0
10,G3PD5,0.0,sdhCD,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,sdhCD,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,sdhCD,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,sdhCD,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560089,sdhCD,COBRA,LEUTAi,2.537126915146811
15,SHK3Dr,0.07241260999999999,sdhCD,COBRA,SHK3Dr,2.146239155072209
16,G5SD,0.04200045,sdhCD,COBRA,G5SD,1.2448523858020388
17,ALATA_L2,0.0,sdhCD,COBRA,ALATA_L2,0.0
18,MAN6PI,0.0,sdhCD,COBRA,MAN6PI,0.0
19,APRAUR,8.473999999995828e-05,sdhCD,COBRA,APRAUR,0.002511610974949383
20,DB4PS,0.00016947999999991655,sdhCD,COBRA,DB4PS,0.005023221949898766
21,RBFK,4.2369999999958274e-05,sdhCD,COBRA,RBFK,0.0012558054874740733
22,ACP1_FMN,0.0,sdhCD,COBRA,ACP1_FMN,0.0
23,RBFSb,8.473999999995828e-05,sdhCD,COBRA,RBFSb,0.002511610974949383
24,EX_pi_e,-0.18327514000001371,sdhCD,COBRA,EX_pi_e,-5.432096448662329
25,EX_h_e,5.213094833149685,sdhCD,COBRA,EX_h_e,154.51104786874106
26,DMATT,5.2820000000000406e-05,sdhCD,COBRA,DMATT,0.001565533298287618
27,GRTT,5.2820000000000406e-05,sdhCD,COBRA,GRTT,0.001565533298287618
28,UPP3S,8.474e-05,sdhCD,COBRA,UPP3S,0.00251161097495062
29,UPPDC1,4.237e-05,sdhCD,COBRA,UPPDC1,0.00125580548747531
30,TMDPP,0.0,sdhCD,COBRA,TMDPP,0.0
31,EX_ade_e,0.0,sdhCD,COBRA,EX_ade_e,0.0
32,EX_4abut_e,0.0,sdhCD,COBRA,EX_4abut_e,0.0
33,EX_ac_e,1.7541985144656005,sdhCD,COBRA,EX_ac_e,51.99273355173325
34,EX_akg_e,0.0,sdhCD,COBRA,EX_akg_e,0.0
35,EX_ala__L_e,0.0,sdhCD,COBRA,EX_ala__L_e,0.0
36,EX_arg__L_e,0.0,sdhCD,COBRA,EX_arg__L_e,0.0
37,EX_asp__L_e,0.0,sdhCD,COBRA,EX_asp__L_e,0.0
38,EX_cytd_e,0.0,sdhCD,COBRA,EX_cytd_e,0.0
39,EX_dcyt_e,0.0,sdhCD,COBRA,EX_dcyt_e,0.0
40,EX_fum_e,0.0,sdhCD,COBRA,EX_fum_e,0.0
41,EX_glu__L_e,0.0,sdhCD,COBRA,EX_glu__L_e,0.0
42,EX_gua_e,0.0,sdhCD,COBRA,EX_gua_e,0.0
43,HCO3E,0.09986856000000231,sdhCD,COBRA,HCO3E,2.96000674237102
44,IMPC,-0.10308108000000231,sdhCD,COBRA,IMPC,-3.0552227028294627
45,IMPD,0.04621331999999993,sdhCD,COBRA,IMPD,1.3697177448773286
46,ECOAH4,0.06761719999999999,sdhCD,COBRA,ECOAH4,2.004107878397817
47,GLUTRS,0.00067792,sdhCD,COBRA,GLUTRS,0.02009288779960496
48,TMPPP,4.237e-05,sdhCD,COBRA,TMPPP,0.00125580548747531
49,URIK1,0.0,sdhCD,COBRA,URIK1,0.0
50,URIK2,0.0,sdhCD,COBRA,URIK2,0.0
51,CYTDK1,0.0,sdhCD,COBRA,CYTDK1,0.0
52,CYTDK2,2.7755575615628914e-17,sdhCD,COBRA,CYTDK2,8.226481983984586e-16
53,XPPT,0.0,sdhCD,COBRA,XPPT,0.0
54,HXPRT,0.0,sdhCD,COBRA,HXPRT,0.0
55,NDPK5,0.0,sdhCD,COBRA,NDPK5,0.0
56,DHORTS,-0.06285105000000002,sdhCD,COBRA,DHORTS,-1.8628438395937006
57,OMPDC,0.06285105000000002,sdhCD,COBRA,OMPDC,1.8628438395937006
58,CS,1.0608553543420238,sdhCD,COBRA,CS,31.44271832429261
59,ICDHyr,1.0608553543419754,sdhCD,COBRA,ICDHyr,31.442718324291175
60,ACALD,4.440892098500626e-16,sdhCD,COBRA,ACALD,1.3162371174375338e-14
61,ACS,0.0,sdhCD,COBRA,ACS,0.0
62,PPA,0.6652969699999997,sdhCD,COBRA,PPA,19.718753498387922
63,PPCK,0.0,sdhCD,COBRA,PPCK,0.0
64,ME1,0.0,sdhCD,COBRA,ME1,0.0
65,ALAR,0.007919579999999999,sdhCD,COBRA,ALAR,0.23472862927778415
66,ALATA_L,-0.11055035999999999,sdhCD,COBRA,ALATA_L,-3.2766048791685387
67,XYLK,0.0,sdhCD,COBRA,XYLK,0.0
68,RBK,0.0,sdhCD,COBRA,RBK,0.0
69,GLYK,0.0,sdhCD,COBRA,GLYK,0.0
70,PPM,-0.00012787000000001389,sdhCD,COBRA,PPM,-0.0037899421213945083
71,ASPTA,-1.0496796541009652,sdhCD,COBRA,ASPTA,-31.111481465923468
72,FBP,0.0,sdhCD,COBRA,FBP,0.0
73,GLGC,0.0,sdhCD,COBRA,GLGC,0.0
74,PYK,0.0,sdhCD,COBRA,PYK,0.0
75,A5PISO,0.00739328,sdhCD,COBRA,A5PISO,0.2191296104423285
76,EX_met__L_e,0.0,sdhCD,COBRA,EX_met__L_e,0.0
77,EX_metsox_S__L_e,0.0,sdhCD,COBRA,EX_metsox_S__L_e,0.0
78,IPPMIb,-0.08560089,sdhCD,COBRA,IPPMIb,-2.537126915146811
79,ACHBS,0.055200509999999994,sdhCD,COBRA,ACHBS,1.636089293590647
80,ACLS,0.1661297300000002,sdhCD,COBRA,ACLS,4.923923213754823
81,PSCVT,0.07241260999999999,sdhCD,COBRA,PSCVT,2.146239155072209
82,ANS,0.01080017,sdhCD,COBRA,ANS,0.32010650818187913
83,ANPRT,0.01080017,sdhCD,COBRA,ANPRT,0.32010650818187913
84,CHORM,0.061442960000000005,sdhCD,COBRA,CHORM,1.821109424940429
85,CHORS,0.07241260999999999,sdhCD,COBRA,CHORS,2.146239155072209
86,IGPS,0.01080017,sdhCD,COBRA,IGPS,0.32010650818187913
87,EX_crn_e,0.0,sdhCD,COBRA,EX_crn_e,0.0
88,EX_fe3_e,0.0,sdhCD,COBRA,EX_fe3_e,0.0
