,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,sucAB,COBRA,ALATA_D2,0.0
1,SHCHD2,4.237e-05,sucAB,COBRA,SHCHD2,0.0014711805555555557
2,CPPPGO,4.237e-05,sucAB,COBRA,CPPPGO,0.0014711805555555557
3,GTHOr,-8.673617379884035e-19,sucAB,COBRA,GTHOr,-3.0116727013486234e-17
4,DHORD5,0.0,sucAB,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,sucAB,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.00012710999999998585,sucAB,COBRA,GLYCTO3,0.004413541666666175
7,GLYCTO4,0.0,sucAB,COBRA,GLYCTO4,0.0
8,PFK_3,0.20867469785896925,sucAB,COBRA,PFK_3,7.245649231214211
9,TRPS2,0.0,sucAB,COBRA,TRPS2,0.0
10,G3PD5,0.0,sucAB,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,sucAB,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,sucAB,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,sucAB,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560089,sucAB,COBRA,LEUTAi,2.972253125
15,SHK3Dr,0.07241261000000004,sucAB,COBRA,SHK3Dr,2.5143267361111126
16,G5SD,0.04200045,sucAB,COBRA,G5SD,1.4583489583333336
17,ALATA_L2,0.0,sucAB,COBRA,ALATA_L2,0.0
18,MAN6PI,0.0,sucAB,COBRA,MAN6PI,0.0
19,APRAUR,8.474000000002757e-05,sucAB,COBRA,APRAUR,0.0029423611111120684
20,DB4PS,0.00016948000000005514,sucAB,COBRA,DB4PS,0.005884722222224137
21,RBFK,4.2370000000013786e-05,sucAB,COBRA,RBFK,0.0014711805555560342
22,ACP1_FMN,0.0,sucAB,COBRA,ACP1_FMN,0.0
23,RBFSb,8.474000000002757e-05,sucAB,COBRA,RBFSb,0.0029423611111120684
24,EX_pi_e,-0.1832751400000162,sucAB,COBRA,EX_pi_e,-6.363720138889452
25,EX_h_e,3.486364984600533,sucAB,COBRA,EX_h_e,121.05433974307407
26,DMATT,5.28200000000003e-05,sucAB,COBRA,DMATT,0.0018340277777777881
27,GRTT,5.28200000000003e-05,sucAB,COBRA,GRTT,0.0018340277777777881
28,UPP3S,8.474e-05,sucAB,COBRA,UPP3S,0.0029423611111111113
29,UPPDC1,4.237e-05,sucAB,COBRA,UPPDC1,0.0014711805555555557
30,TMDPP,0.0,sucAB,COBRA,TMDPP,0.0
31,EX_ade_e,0.0,sucAB,COBRA,EX_ade_e,0.0
32,EX_4abut_e,0.0,sucAB,COBRA,EX_4abut_e,0.0
