,ID,flux,sample_id,author,BiGG_ID,normalized_flux
0,ALATA_D2,0.0,zwf,COBRA,ALATA_D2,0.0
1,SHCHD2,4.237e-05,zwf,COBRA,SHCHD2,0.001474805056666478
2,CPPPGO,4.237e-05,zwf,COBRA,CPPPGO,0.001474805056666478
3,GTHOr,-8.673617379884035e-19,zwf,COBRA,GTHOr,-3.019092464348176e-17
4,DHORD5,0.0,zwf,COBRA,DHORD5,0.0
5,GLYCTO2,0.0,zwf,COBRA,GLYCTO2,0.0
6,GLYCTO3,0.00012710999999998585,zwf,COBRA,GLYCTO3,0.00442441516999894
7,GLYCTO4,0.0,zwf,COBRA,GLYCTO4,0.0
8,PFK_3,0.20200803119230087,zwf,COBRA,PFK_3,7.031448333482297
9,TRPS2,0.0,zwf,COBRA,TRPS2,0.0
10,G3PD5,0.0,zwf,COBRA,G3PD5,0.0
11,EX_acgam_e,0.0,zwf,COBRA,EX_acgam_e,0.0
12,EX_cellb_e,0.0,zwf,COBRA,EX_cellb_e,0.0
13,EX_chol_e,0.0,zwf,COBRA,EX_chol_e,0.0
14,LEUTAi,0.08560089,zwf,COBRA,LEUTAi,2.979575771233206
15,SHK3Dr,0.0724126100000001,zwf,COBRA,SHK3Dr,2.5205212035500995
16,G5SD,0.04200045,zwf,COBRA,G5SD,1.4619418466430865
17,ALATA_L2,0.0,zwf,COBRA,ALATA_L2,0.0
18,MAN6PI,0.0,zwf,COBRA,MAN6PI,0.0
19,APRAUR,8.473999999997206e-05,zwf,COBRA,APRAUR,0.002949610113331983
20,DB4PS,0.00016947999999994412,zwf,COBRA,DB4PS,0.005899220226663966
21,RBFK,4.236999999997206e-05,zwf,COBRA,RBFK,0.0014748050566655052
22,ACP1_FMN,0.0,zwf,COBRA,ACP1_FMN,0.0
23,RBFSb,8.473999999997206e-05,zwf,COBRA,RBFSb,0.002949610113331983
24,EX_pi_e,-0.1832751400000162,zwf,COBRA,EX_pi_e,-6.379398235385428
25,EX_h_e,3.479457455961492,zwf,COBRA,EX_h_e,121.11214185763245
26,DMATT,5.28200000000003e-05,zwf,COBRA,DMATT,0.0018385462141402831
27,GRTT,5.28200000000003e-05,zwf,COBRA,GRTT,0.0018385462141402831
28,UPP3S,8.474e-05,zwf,COBRA,UPP3S,0.002949610113332956
29,UPPDC1,4.237e-05,zwf,COBRA,UPPDC1,0.001474805056666478
30,TMDPP,0.0,zwf,COBRA,TMDPP,0.0
31,EX_ade_e,0.0,zwf,COBRA,EX_ade_e,0.0
