,ID,Value
0,vPTS,0.4463076400773352
1,vPGI,0.2910864224110993
2,vPGM,0.007533874933194873
3,vG6PDH,0.14747977710624863
4,vPFK,0.3581709475962147
5,vTA,0.06799446214190866
6,vTKA,0.06802564879240201
7,vTKB,0.0
8,vMURSyNTH,0.00043711
9,vALDO,0.3581213938282886
10,vGAPDH,0.7145372499723996
11,vTIS,0.35536880174311963
12,vTRPSYNTH,0.001037
13,vG3PDH,0.0027354748807889764
14,vPGK,0.7145369018289409
15,vsersynth,0.01597833998324976
16,vrpGluMu,0.6984672930318634
17,vENO,0.6984502990840933
18,vPK,0.036903689604425916
19,vpepCxylase,0.13406028428189914
20,vSynth1,0.013090167487668987
21,vSynth2,0.05681175537434894
22,vDAHPS,0.0679756577494731
23,vPDH,0.4295113306344007
24,vMethSynth,0.0022627
25,vPGDH,0.1474322346370819
26,vR5PI,0.07938135753989446
27,vRu5P,0.06804003764123512
28,vPPK,0.011316000208090978
29,vG1PAT,0.007498416836706614
30,vG6P,0.0002075662457521406
31,vf6P,3.571786420675231e-05
32,vfdP,4.955222713194276e-05
33,vGAP,2.113241404084884e-05
34,vDHAP,1.7117976778707935e-05
35,vPGP,3.480761410569251e-07
36,vPG3,9.12694644878906e-05
37,vpg2,1.6994094402606236e-05
38,vPEP,0.00011286022599341632
39,vRibu5p,1.0839443691846948e-05
40,vRIB5P,3.970897136406274e-05
41,vXYL5P,1.4389316232327268e-05
42,vSED7P,3.11854639407433e-05
43,vpyr,0.0001879438385368102
44,vPG,4.75424916013556e-05
45,vE4P,1.8804997527688088e-05
46,vGLP,3.545815491638726e-05
47,vEXTER,0.4463076565732685
