,ID,Value
0,vPTS,0.20040075497764528
1,vPGI,0.043276993863530906
2,vPGM,0.004007595189840987
3,vG6PDH,0.15300773981401372
4,vPFK,0.1333936597423769
5,vTA,0.05132504904765158
6,vTKA,0.051333154696170696
7,vTKB,0.03968453370915652
8,vMURSyNTH,0.00043711
9,vALDO,0.13338128503927682
10,vGAPDH,0.30541288996285754
11,vTIS,0.13130978241249477
12,vTRPSYNTH,0.001037
13,vG3PDH,0.002065604335226254
14,vPGK,0.3054125865130241
15,vsersynth,0.019168670352090342
16,vrpGluMu,0.2861629356973464
17,vENO,0.28614776842128514
18,vPK,0.0
19,vpepCxylase,0.058650715764729536
20,vSynth1,0.015357622716941665
21,vSynth2,0.0526513660032107
22,vDAHPS,0.011637146627444974
23,vPDH,0.1509793173712514
24,vMethSynth,0.0022627
25,vPGDH,0.1529831118297785
26,vR5PI,0.06195740204168188
27,vRu5P,0.09102214628924268
28,vPPK,0.010611416637206949
29,vG1PAT,0.003987860572869874
30,vG6P,0.00010872978603076865
31,vf6P,1.8749180778152853e-05
32,vfdP,1.2503554316490916e-05
33,vGAP,7.934136205381774e-06
34,vDHAP,6.0099284700902175e-06
35,vPGP,3.053975414056082e-07
36,vPG3,8.143870942165327e-05
37,vpg2,1.5252923258601768e-05
38,vPEP,0.00010210630200405507
39,vRibu5p,3.577840078888187e-06
40,vRIB5P,1.2887408984679806e-05
41,vXYL5P,4.483294786935476e-06
42,vSED7P,8.105273692152618e-06
43,vpyr,6.980946686585038e-05
44,vPG,2.4687436236443364e-05
45,vE4P,3.3970952975465305e-06
46,vGLP,1.9770991632780357e-05
47,vEXTER,0.20040009547566603
