,ID,Value
0,vPTS,0.0010362489298297605
1,vPGI,0.0008731146161153755
2,vPGM,7.569467028463597e-07
3,vG6PDH,0.00016228443992807783
4,vPFK,4.0296808492787827e-07
5,vTA,1.422917951949583e-06
6,vTKA,-1.016818342102644e-07
7,vTKB,1.0150633328058594e-07
8,vMURSyNTH,0.00043711
9,vALDO,4.02966926100334e-07
10,vGAPDH,0.0010363748579429895
11,vTIS,3.950203130283466e-07
12,vTRPSYNTH,0.001037
13,vG3PDH,7.922932427168652e-09
14,vPGK,0.001036374856049018
15,vsersynth,1.0679398048258458e-07
16,vrpGluMu,0.0010362680591442597
17,vENO,0.0010362680767927838
18,vPK,9.789476876895523e-09
19,vpepCxylase,5.2551113721557445e-09
20,vSynth1,3.90490624536641e-09
21,vSynth2,0.004333899247755327
22,vDAHPS,1.5874394589210927e-18
23,vPDH,1.9432348743250675e-07
24,vMethSynth,0.0022627
25,vPGDH,0.0001622581125817741
26,vR5PI,0.0026893704025121507
27,vRu5P,0.0
28,vPPK,0.012797969070783602
29,vG1PAT,7.386560056004395e-07
30,vG6P,9.071047498519394e-08
31,vf6P,1.562875868890957e-08
32,vfdP,1.125860954313553e-12
33,vGAP,2.5724190629851538e-11
34,vDHAP,1.8954352745171815e-11
35,vPGP,1.9205676165011744e-12
36,vPG3,1.1546642165632837e-10
37,vpg2,9.543532442439684e-12
38,vPEP,5.555892411409015e-12
39,vRibu5p,8.680615983146509e-05
40,vRIB5P,0.0003471628302047921
41,vXYL5P,5.925782634404499e-12
42,vSED7P,9.635319771583135e-05
43,vpyr,1.7389479029346686e-06
44,vPG,2.557908094312172e-08
45,vE4P,1.5972662375496268e-07
46,vGLP,1.777389971453891e-08
47,vEXTER,0.19629752767992475
