,ID,Value
0,vPTS,0.20040401631123275
1,vPGI,0.05841667261072235
2,vPGM,0.0023350608543943187
3,vG6PDH,0.13955542537826454
4,vPFK,0.14135579843770776
5,vTA,0.04535806469150911
6,vTKA,0.04536574996010739
7,vTKB,0.03847198069934612
8,vMURSyNTH,0.00043711
9,vALDO,0.14134823865816906
10,vGAPDH,0.3205397219094683
11,vTIS,0.1396808765725874
12,vTRPSYNTH,0.001037
13,vG3PDH,0.0016627200997602508
14,vPGK,0.320539499723142
15,vsersynth,0.01749455828506584
16,vrpGluMu,0.3029857572420774
17,vENO,0.30297467587001214
18,vPK,0.0381244478839552
19,vpepCxylase,0.04326225612361775
20,vSynth1,0.014226156485847265
21,vSynth2,0.05356251158253177
22,vDAHPS,0.00688335877101283
23,vPDH,0.18819140874926002
24,vMethSynth,0.0022627
25,vPGDH,0.13953295522119163
26,vR5PI,0.05568829747806981
27,vRu5P,0.08384156970243806
28,vPPK,0.010311475226766627
29,vG1PAT,0.002316900645035922
30,vG6P,9.685744739014492e-05
31,vf6P,1.66995599798262e-05
32,vfdP,7.559758234258938e-06
33,vGAP,6.0592929041988785e-06
34,vDHAP,4.641994328825026e-06
35,vPGP,2.2218610761101555e-07
36,vPG3,5.9184160288695865e-05
37,vpg2,1.1081366126580697e-05
38,vPEP,7.444024658870743e-05
39,vRibu5p,3.0880396939523105e-06
40,vRIB5P,1.1072288692576919e-05
41,vXYL5P,3.839044320503072e-06
42,vSED7P,7.685265658514218e-06
43,vpyr,7.424386362679432e-05
44,vPG,2.24701527918023e-05
45,vE4P,2.725222629396399e-06
46,vGLP,1.816020598773705e-05
47,vEXTER,0.20040401633984986
