,ID,Value
0,vPTS,0.2004033887978023
1,vPGI,0.058292979756600055
2,vPGM,0.00234121600592737
3,vG6PDH,0.13967223488684688
4,vPFK,0.14130787924177832
5,vTA,0.04539942672293853
6,vTKA,0.045407099588519316
7,vTKB,0.03850637635803723
8,vMURSyNTH,0.00043711
9,vALDO,0.14130030326048848
10,vGAPDH,0.3204766342160101
11,vTIS,0.1396313481525296
12,vTRPSYNTH,0.001037
13,vG3PDH,0.0016643079402415923
14,vPGK,0.32047641172441177
15,vsersynth,0.0175022659541298
16,vrpGluMu,0.30291487995555094
17,vENO,0.3029037832848278
18,vPK,0.038114594186217224
19,vpepCxylase,0.04320467263994044
20,vSynth1,0.014216547992491972
21,vSynth2,0.05356228852988661
22,vDAHPS,0.006890324006177065
23,vPDH,0.18818115172515465
24,vMethSynth,0.0022627
25,vPGDH,0.13964974552170917
26,vR5PI,0.055729343332896815
27,vRu5P,0.0839173143175941
28,vPPK,0.010311173072868761
29,vG1PAT,0.002323038990005708
30,vG6P,9.695815367706183e-05
31,vf6P,1.6683596713990546e-05
32,vfdP,7.575985555648051e-06
33,vGAP,6.06642145115012e-06
34,vDHAP,4.647168303924011e-06
35,vPGP,2.2249153185349435e-07
36,vPG3,5.926582388212794e-05
37,vpg2,1.1096671939053506e-05
38,vPEP,7.425567371510433e-05
39,vRibu5p,3.08787141009933e-06
40,vRIB5P,1.1070672210644941e-05
41,vXYL5P,3.838371274299274e-06
42,vSED7P,7.672866102832322e-06
43,vpyr,7.42427287615995e-05
44,vPG,2.2489366235710884e-05
45,vE4P,2.7263589637266807e-06
46,vGLP,1.8177016683315325e-05
47,vEXTER,0.2004033887866568
