,ID,Value
0,PGI,-3.382955741870871e-06
1,PFK,7.344510292115259e-19
2,FBA,-1.410893103910521e-14
3,TPI,1.6168800678841648e-12
4,GDH,4.08645221210765e-09
5,PGK,1.702263506735517e-17
6,GPM,1.725958684280382e-17
7,ENO,1.7390971255842743e-17
8,PYK,6.712906241465994e-37
9,ZWF,3.383785288853364e-06
10,PGL,3.3837856437244743e-06
11,GND,3.295501620501483e-06
12,RPE,1.8828693114299147e-06
13,RPI,1.4134934065052675e-06
14,X5P_GAP_TKT,1.8841252071408717e-06
15,F6P_E4P_TKT,1.4142673406446855e-06
16,S7P_R5P_TKT,1.4139239494606638e-06
17,F6P_GAP_TAL,1.9683596531546205e-06
18,S7P_E4P_TAL,1.4141694853604389e-06
19,FBP,1.4217340054118096e-14
20,PPC,9.494586481134728e-20
21,PCK,3.6416168044211355e-32
22,PPS,-4.970913912681381e-16
23,MAD,1.8982547890103026e-15
24,PDH,8.833661662883149e-08
25,GLT,1.4125947903418467e-16
26,ACN_1,1.411789072220046e-16
27,ACN_2,1.411480077334089e-16
28,ICD,2.8190856693480463e-17
29,LPD,0.0
30,SK,1.7882074718409193e-15
31,SDH,1.9246334486971178e-15
32,FUMA,1.9257817188420472e-15
33,MQO,1.8378760380676794e-15
34,MDH,1.6967567550893048e-15
35,ACEA,1.1168532674343543e-16
36,ACEB,1.115015536281079e-16
37,ACEK_1,1.0139960671711216e-17
38,ACEK_2,-2.8107225872875397e-10
39,EDD,8.83244909051241e-08
40,EDA,8.83301430152856e-08
41,NADH_req,2.742901203601235e-06
42,PNT_req,6.679443180741572e-06
43,ADK,6.7348210190514885e-16
44,ATP_syn,2.6484581120620606e-16
45,CYA,-0.0
46,DOS,-1.9390739014468748e-19
47,ACK,2.9688909815270653e-18
48,ACS,1.6718714772349712e-15
49,PTA,2.0641772067455182e-07
50,PTS_0,1.967891896834504e-32
51,PTS_1,-9.759466233406011e-19
52,PTS_2,5.482924153880445e-16
53,PTS_3,0.0
54,PTS_4,-1.8324801193468498e-17
55,GLC_feed,0.4
56,CYTBO,3.386089866565579e-06
57,SQR_,1.3911937415761466e-10
58,NDHII,4.029002122571356e-06
59,GROWTH,2.392471043340625e-106
60,ATP_MAINTENANCE,7.527327162167435e-16
61,XCH_GLC,0.000997486384273028
62,PIT,3.8060323764469524e-05
63,XCH_P,3.80605610042095e-05
64,XCH_ACE1,1.430758734562509e-07
65,_ACE_OUT,1.4486255225991793e-05
66,XCH_ACE2,1.788446455073193e-07
67,GL6P_HYDROLYSIS,1.1215050233339513e-12
