,ID,Value
0,PGI,0.3058916363332412
1,PFK,0.27475455720971825
2,FBA,0.2747557366660271
3,TPI,0.27475630151237135
4,GDH,0.6074184708901215
5,PGK,0.6073935795724369
6,GPM,0.5887166590436662
7,ENO,0.5887126526517596
8,PYK,0.06048087874872339
9,ZWF,0.08020555221121185
10,PGL,0.0801276942577435
11,GND,0.0010352246381739331
12,RPE,-0.010142281326743984
13,RPI,0.0
14,X5P_GAP_TKT,-0.026987446057370468
15,F6P_E4P_TKT,-0.015785562065203314
16,S7P_R5P_TKT,-0.011201679421391752
17,F6P_GAP_TAL,-0.011279165601544556
18,S7P_E4P_TAL,-0.011278580074487808
19,FBP,7.992209699775116e-14
20,PPC,0.2222302444161431
21,PCK,0.10047895071416015
22,PPS,3.244254072239179e-06
23,MAD,1.4721183818936172e-05
24,PDH,0.5003473918025686
25,GLT,0.4526069332900137
26,ACN_1,0.4523628090355983
27,ACN_2,0.45227825860688836
28,ICD,0.4518912836451415
29,LPD,0.4384138042340134
30,SK,0.41104744342704985
31,SDH,0.3530652480475193
32,FUMA,0.35306555635369463
33,MQO,2.442910152231247
34,MDH,2.0897395426689616
35,ACEA,0.00011835000258913248
36,ACEB,0.00011835078229200649
37,ACEK_1,0.0017110203482446579
38,ACEK_2,0.0017110201631749648
39,EDD,0.07593747181367241
40,EDA,0.07522786559726509
41,NADH_req,0.7690299850062239
42,PNT_req,0.3084572575288649
43,ADK,0.019271553012579105
44,ATP_syn,3.350914536037122
45,CYA,0.006214391601843413
46,DOS,0.006215774709995212
47,ACK,0.013053155337024015
48,ACS,0.013052462187061844
49,PTA,0.013418435850077017
50,PTS_0,0.3999999967643033
51,PTS_1,0.40000000217833853
52,PTS_2,0.4000000021682517
53,PTS_3,0.40000000143234465
54,PTS_4,0.4000000014320458
55,GLC_feed,0.4
56,CYTBO,1.3025817758547629
57,SQR_,0.3530652420909132
58,NDHII,1.1298977780525445
59,GROWTH,2.2094075329067683e-05
60,ATP_MAINTENANCE,3.3533557540919112
61,XCH_GLC,0.4000000014285161
62,PIT,0.09311599066165088
63,XCH_P,0.09311599671657421
64,XCH_ACE1,6.935130570775744e-07
65,_ACE_OUT,7.304070501140809e-07
66,XCH_ACE2,6.936049455203373e-07
67,GL6P_HYDROLYSIS,2.466532196545539e-06
