,ID,Value
0,PGI,-4.552987236784887e-06
1,PFK,1.4220203003979555e-22
2,FBA,-1.2245175074651508e-13
3,TPI,3.6825074557346796e-12
4,GDH,5.073444413456607e-09
5,PGK,2.6534435783522597e-21
6,GPM,2.653441907805795e-21
7,ENO,2.6534317977380335e-21
8,PYK,5.1265621033091393e-45
9,ZWF,4.554075399937644e-06
10,PGL,4.554075825940505e-06
11,GND,4.4344643868790125e-06
12,RPE,2.603341499529398e-06
13,RPI,1.8322163053960198e-06
14,X5P_GAP_TKT,2.6049298754874093e-06
15,F6P_E4P_TKT,1.83304468096363e-06
16,S7P_R5P_TKT,1.8326741194901132e-06
17,F6P_GAP_TAL,2.719612278469662e-06
18,S7P_E4P_TAL,1.832835518787762e-06
19,FBP,1.232534883625015e-13
20,PPC,1.802324505884345e-24
21,PCK,7.618156280367009e-40
22,PPS,-2.6517116902493446e-21
23,MAD,2.9253702524593604e-19
24,PDH,1.1968110759770908e-07
25,GLT,2.0247482479339832e-20
26,ACN_1,2.0247476814136764e-20
27,ACN_2,2.024747497198674e-20
28,ICD,1.2337618455690781e-24
29,LPD,0.0
30,SK,2.7229161553238496e-19
31,SDH,2.9253669043572553e-19
32,FUMA,2.925366321611598e-19
33,MQO,2.6650826956284296e-19
34,MDH,2.4626261439046456e-19
35,ACEA,2.024623595264034e-20
36,ACEB,2.024622805320015e-20
37,ACEK_1,1.776043272147242e-21
38,ACEK_2,-5.597984000099699e-10
39,EDD,1.196644360741302e-07
40,EDA,1.1967183267349915e-07
41,NADH_req,3.6919329330629876e-06
42,PNT_req,8.988744747532988e-06
43,ADK,9.694031185917107e-20
44,ATP_syn,3.106166568182679e-20
45,CYA,-1.5181352607391717e-19
46,DOS,-1.508168590014236e-19
47,ACK,4.617184203650951e-22
48,ACS,2.514049005910287e-19
49,PTA,3.141701564703495e-07
50,PTS_0,-7.261648145059243e-26
51,PTS_1,2.3755761151685438e-26
52,PTS_2,1.9762735682442435e-24
53,PTS_3,2.323697715258256e-22
54,PTS_4,2.32854409728255e-22
55,GLC_feed,0.73
56,CYTBO,4.556955075614604e-06
57,SQR_,1.823284932789271e-10
58,NDHII,5.4216149529137325e-06
59,GROWTH,3.531243618780979e-125
60,ATP_MAINTENANCE,1.1066957445961954e-19
61,XCH_GLC,0.0018203827659998197
62,PIT,5.1223372372036445e-05
63,XCH_P,5.122368338791254e-05
64,XCH_ACE1,1.4972097052387804e-07
65,_ACE_OUT,1.5159063002507377e-05
66,XCH_ACE2,1.8715100752539784e-07
67,GL6P_HYDROLYSIS,1.509399891025758e-12
