,ID,Value
0,PGI,-1.0185160565371445e-05
1,PFK,1.462871075064169e-10
2,FBA,-2.5785240976538616e-06
3,TPI,0.0
4,GDH,1.507179969858221e-06
5,PGK,2.7618871506357063e-08
6,GPM,2.7615231961613142e-08
7,ENO,2.7613253170692596e-08
8,PYK,5.094790920846368e-18
9,ZWF,1.0185834194969118e-05
10,PGL,1.0185836647559878e-05
11,GND,8.765555504491102e-06
12,RPE,5.8007620158977105e-06
13,RPI,2.965678556824919e-06
14,X5P_GAP_TKT,5.80206648963674e-06
15,F6P_E4P_TKT,2.9666981975403588e-06
16,S7P_R5P_TKT,2.9659573920017145e-06
17,F6P_GAP_TAL,3.1382766723250347e-06
18,S7P_E4P_TAL,2.9660224054494606e-06
19,FBP,4.08007961991895e-06
20,PPC,2.0640385019602098e-08
21,PCK,-1.7086352854722314e-16
22,PPS,-6.964423590199266e-09
23,MAD,3.180468777707558e-08
24,PDH,1.459349661396907e-06
25,GLT,1.3498868614615221e-09
26,ACN_1,1.3498797409430235e-09
27,ACN_2,1.3498783018027988e-09
28,ICD,1.3030651405298201e-09
29,LPD,1.3029006400337234e-09
30,SK,1.2412484557835368e-08
31,SDH,1.2467631349772784e-08
32,FUMA,1.2467506343318624e-08
33,MQO,8.290915832397228e-09
34,MDH,2.758161021598367e-08
35,ACEA,4.681180156539716e-11
36,ACEB,4.6810587504280625e-11
37,ACEK_1,8.236343677616919e-10
38,ACEK_2,-1.4623373478731168e-08
39,EDD,1.420515483452798e-06
40,EDA,1.4205487599167314e-06
41,NADH_req,9.156577483896375e-06
42,PNT_req,1.895281166528737e-05
43,ADK,1.3405853178575877e-08
44,ATP_syn,7.29104372114837e-10
45,CYA,-7.225741112865389e-20
46,DOS,1.0100384591205101e-14
47,ACK,2.626877639070889e-09
48,ACS,2.0361650914403015e-08
49,PTA,2.209115011200511e-06
50,PTS_0,3.518006436496556e-14
51,PTS_1,3.51493774968536e-14
52,PTS_2,3.514936977559869e-14
53,PTS_3,3.514845032655342e-14
54,PTS_4,3.51484246468039e-14
55,GLC_feed,0.73
56,CYTBO,1.0972942127832747e-05
57,SQR_,1.2581504225286368e-08
58,NDHII,1.27959024068272e-05
59,GROWTH,2.3423079245949893e-64
60,ATP_MAINTENANCE,1.5616832275576766e-08
61,XCH_GLC,0.001820382766046511
62,PIT,0.00012440691060947365
63,XCH_P,0.0001244071208814304
64,XCH_ACE1,6.872983681303243e-08
65,_ACE_OUT,8.737049952488062e-06
66,XCH_ACE2,9.034693277670168e-08
67,GL6P_HYDROLYSIS,3.4003082934569823e-12
